,GasLimit,GasUsage,Value,Method,Args
0,1467634,1467634 (100%),0 Ether ($0.00) ,constructor,[]
1,27105,27105 (100%),0 Ether ($0.00) ,unfreeze,[]
2,66554,66554 (100%),0 Ether ($0.00) ,mint,"[['address', '0x52307E59A5c4B08FCd65b238d11b794D088359ba'], ['uint256', '240000000000000000000000000']]"
3,45908,45908 (100%),0 Ether ($0.00) ,approve,"[['address', '0x90AEeD75539d0f451F8fAE847cDf8Ae3aa47FeF7'], ['uint256', '3000000000000000000000000']]"
4,90000,59753 (66.39%),0 Ether ($0.00) ,transferFrom,"[['address', '0x52307E59A5c4B08FCd65b238d11b794D088359ba'], ['address', '0x9C85e7b8E205e70C18b2f1691919D7085B81597E'], ['uint256', '10000000000000000000000']]"
5,90000,44241 (49.16%),0 Ether ($0.00) ,transferFrom,"[['address', '0x52307E59A5c4B08FCd65b238d11b794D088359ba'], ['address', '0x70BF8fa0afFB3Cd20899cbf41FE84cd0Ccf42BE2'], ['uint256', '0']]"
6,90000,44241 (49.16%),0 Ether ($0.00) ,transferFrom,"[['address', '0x52307E59A5c4B08FCd65b238d11b794D088359ba'], ['address', '0x70BF8fa0afFB3Cd20899cbf41FE84cd0Ccf42BE2'], ['uint256', '0']]"
7,90000,59689 (66.32%),0 Ether ($0.00) ,transferFrom,"[['address', '0x52307E59A5c4B08FCd65b238d11b794D088359ba'], ['address', '0xAbcEC6A48A52Cc935412c2b5875D7E2E6AE77026'], ['uint256', '1596700000000000000000']]"
8,90000,59753 (66.39%),0 Ether ($0.00) ,transferFrom,"[['address', '0x52307E59A5c4B08FCd65b238d11b794D088359ba'], ['address', '0x1C387867C6291132a37e1e773d202DD0b9fc2981'], ['uint256', '8007500000000000000000']]"
9,90000,59625 (66.25%),0 Ether ($0.00) ,transferFrom,"[['address', '0x52307E59A5c4B08FCd65b238d11b794D088359ba'], ['address', '0xDE00c742b8d69c8bEa21a2b340A8fbD115001785'], ['uint256', '7855300000000000000000']]"
10,90000,59689 (66.32%),0 Ether ($0.00) ,transferFrom,"[['address', '0x52307E59A5c4B08FCd65b238d11b794D088359ba'], ['address', '0xe0Cc6efa54C0054a0078f4056304CFE9625Ec4bD'], ['uint256', '40372300000000000000000']]"
11,90000,59753 (66.39%),0 Ether ($0.00) ,transferFrom,"[['address', '0x52307E59A5c4B08FCd65b238d11b794D088359ba'], ['address', '0x61d5f51Be3018935CB0FE9C86E8b91e1ab5534C7'], ['uint256', '15462500000000000000000']]"
12,90000,59753 (66.39%),0 Ether ($0.00) ,transferFrom,"[['address', '0x52307E59A5c4B08FCd65b238d11b794D088359ba'], ['address', '0x5B84aaa14d1C415aB7109dE3a47eefb948711a31'], ['uint256', '7953000000000000000000']]"
13,90000,59753 (66.39%),0 Ether ($0.00) ,transferFrom,"[['address', '0x52307E59A5c4B08FCd65b238d11b794D088359ba'], ['address', '0x5f1018237919A1C8D4A146A20805D7D0868A9F3e'], ['uint256', '7735300000000000000000']]"
14,90000,59753 (66.39%),0 Ether ($0.00) ,transferFrom,"[['address', '0x52307E59A5c4B08FCd65b238d11b794D088359ba'], ['address', '0x9Fb949bb723C9E9eA4612BdFfE3C7dAe5b1CEC66'], ['uint256', '7735300000000000000000']]"
15,90000,59753 (66.39%),0 Ether ($0.00) ,transferFrom,"[['address', '0x52307E59A5c4B08FCd65b238d11b794D088359ba'], ['address', '0x22de92389395F52AB936d7ccE8F39366f5daaE22'], ['uint256', '8503900000000000000000']]"
16,90000,59753 (66.39%),0 Ether ($0.00) ,transferFrom,"[['address', '0x52307E59A5c4B08FCd65b238d11b794D088359ba'], ['address', '0x8a31fE010489E7d49fdeA09014ad925d12e70292'], ['uint256', '7578600000000000000000']]"
17,90000,59753 (66.39%),0 Ether ($0.00) ,transferFrom,"[['address', '0x52307E59A5c4B08FCd65b238d11b794D088359ba'], ['address', '0x1Cc20Cc5dDA5Ca540693BBD72928555BBc5283e6'], ['uint256', '8227100000000000000000']]"
18,90000,59753 (66.39%),0 Ether ($0.00) ,transferFrom,"[['address', '0x52307E59A5c4B08FCd65b238d11b794D088359ba'], ['address', '0xd65b7a0dD6f037f0CdAD55D7ED3e1E41F8bC104D'], ['uint256', '16720300000000000000000']]"
