,GasLimit,GasUsage,Value,Method,Args
0,1479636,1379636 (93.24%),0 Ether ($0.00) ,constructor,[]
1,152651,52651 (34.49%),0 Ether ($0.00) ,transfer,"[['address', '0x008CB6D2d2FF5729a89BD158C5CBBFa906D01321'], ['uint256', '500000']]"
2,137971,37971 (27.52%),0 Ether ($0.00) ,transfer,"[['address', '0x008CB6D2d2FF5729a89BD158C5CBBFa906D01321'], ['uint256', '500000000000000000000000']]"
3,153035,53035 (34.66%),0 Ether ($0.00) ,transfer,"[['address', '0xc456019E0877140fDCf3115ea4cEE6E36917A3dF'], ['uint256', '100000000000000000000000']]"
4,52971,52971 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x5eE69547D0F4C9912BdbddE8584b31F206897b64'], ['uint256', '100000000000000000000']]"
5,153035,53035 (34.66%),0 Ether ($0.00) ,transfer,"[['address', '0xC1d805c2898b66A705ae9AA9372B32543d506B3C'], ['uint256', '10000000000000000000000']]"
6,137651,37651 (27.35%),0 Ether ($0.00) ,transfer,"[['address', '0xC1d805c2898b66A705ae9AA9372B32543d506B3C'], ['uint256', '20000']]"
7,37971, 37971 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x5eE69547D0F4C9912BdbddE8584b31F206897b64'], ['uint256', '1000000000000000000000']]"
8,37971,37971 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x5eE69547D0F4C9912BdbddE8584b31F206897b64'], ['uint256', '1000000000000000000000']]"
9,37971,37971 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x5eE69547D0F4C9912BdbddE8584b31F206897b64'], ['uint256', '1000000000000000000000']]"
10,37971,37971 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x5eE69547D0F4C9912BdbddE8584b31F206897b64'], ['uint256', '100000000000000000000']]"
11,37971,37971 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x5eE69547D0F4C9912BdbddE8584b31F206897b64'], ['uint256', '100000000000000000000']]"
12,153035,53035 (34.66%),0 Ether ($0.00) ,transfer,"[['address', '0x8FdbCEb18c42faf1D9Ab3Fbec6950Ac6DcBA515d'], ['uint256', '10000000000000000000000']]"
13,37907,37907 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x5eE69547D0F4C9912BdbddE8584b31F206897b64'], ['uint256', '1000000000000000000']]"
14,37971,37971 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x5eE69547D0F4C9912BdbddE8584b31F206897b64'], ['uint256', '100000000000000000000']]"
15,37971,37971 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x5eE69547D0F4C9912BdbddE8584b31F206897b64'], ['uint256', '100000000000000000000']]"
16,37971,37971 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x5eE69547D0F4C9912BdbddE8584b31F206897b64'], ['uint256', '100000000000000000000']]"
17,37971,37971 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x5eE69547D0F4C9912BdbddE8584b31F206897b64'], ['uint256', '100000000000000000000']]"
18,37971,37971 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x5eE69547D0F4C9912BdbddE8584b31F206897b64'], ['uint256', '100000000000000000000']]"
19,37971,37971 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x5eE69547D0F4C9912BdbddE8584b31F206897b64'], ['uint256', '100000000000000000000']]"
20,37971,37971 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x5eE69547D0F4C9912BdbddE8584b31F206897b64'], ['uint256', '100000000000000000000']]"
21,37971,37971 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x5eE69547D0F4C9912BdbddE8584b31F206897b64'], ['uint256', '100000000000000000000']]"
22,37971,37971 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x5eE69547D0F4C9912BdbddE8584b31F206897b64'], ['uint256', '100000000000000000000']]"
23,37971,37971 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x5eE69547D0F4C9912BdbddE8584b31F206897b64'], ['uint256', '100000000000000000000']]"
24,37971,37971 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x5eE69547D0F4C9912BdbddE8584b31F206897b64'], ['uint256', '100000000000000000000']]"
25,37971,37971 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x5eE69547D0F4C9912BdbddE8584b31F206897b64'], ['uint256', '100000000000000000000']]"
