,GasLimit,GasUsage,Value,Method,Args
0,1171594,1171594 (100%),0 Ether ($0.00) ,constructor,[]
1,53518,53518 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xc24F7ABEde8555d8bea4C227B7935349edc6d05d'], ['uint256', '100000000000000000']]"
2,53518,38518 (71.97%),0 Ether ($0.00) ,transfer,"[['address', '0x85cE8d4974Ae369A214285A6a6d287f0a028Ed18'], ['uint256', '100000000000000000']]"
3,53518,38518 (71.97%),0 Ether ($0.00) ,transfer,"[['address', '0x6fA0278DAc057C46C34071851bfadB4Af9446508'], ['uint256', '400000000000000000']]"
4,23192,23192 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xc113D8B6d050254AE84557CAa278aa58b658F5d7'], ['uint256', '3000000000000000']]"
5,23200,23200 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x6a4De8CD4Fbdc2a60b4125c76163339C8c629CC9'], ['uint256', '93000000000000']]"
6,53454,53454 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x9C445f52C124Edc6cB0dcf5C1109B83153AfbC38'], ['uint256', '60000000000000']]"
7,53454,53454 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xF91442e8b402A36Ed59fD9FDC44f4DC8D74623EA'], ['uint256', '108000000000000']]"
8,53454,53454 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x8bC57c22EAB4942825FFA7cbBd72eD445036432F'], ['uint256', '132000000000000']]"
9,38390,38390 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x8bC57c22EAB4942825FFA7cbBd72eD445036432F'], ['uint256', '160000000000000']]"
10,38000,38000 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xb1E3663d8A3f88976640c8b02288e260E4949242'], ['uint256', '160000000000000']]"
11,38500,38500 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xb1E3663d8A3f88976640c8b02288e260E4949242'], ['uint256', '160000000000000']]"
12,53390,53390 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xb1E3663d8A3f88976640c8b02288e260E4949242'], ['uint256', '160000000000000']]"
13,53390,53390 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xD30DD09B7317463c7159D2BA17A28a27AE0a299b'], ['uint256', '160000000000000']]"
14,53390,53390 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x3dac6a59c7D2b378841c05F751DF5A306789e8ec'], ['uint256', '240000000000000']]"
15,53390,53390 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x3D9096364c95401590C3Ae0640eaC1836208F949'], ['uint256', '240000000000000']]"
16,53390,38390 (71.9%),0 Ether ($0.00) ,transfer,"[['address', '0x3D9096364c95401590C3Ae0640eaC1836208F949'], ['uint256', '240000000000000']]"
17,53454,53454 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xCe11C81e2444B28dAe856d942Fe913b40FE2d1B7'], ['uint256', '260000000000000']]"
18,53454,53454 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x6a4De8CD4Fbdc2a60b4125c76163339C8c629CC9'], ['uint256', '93000000000000']]"
19,38518,38518 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x6a4De8CD4Fbdc2a60b4125c76163339C8c629CC9'], ['uint256', '387000000000000']]"
20,53518,53518 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xc113D8B6d050254AE84557CAa278aa58b658F5d7'], ['uint256', '2760000000000000']]"
21,38390,38390 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xc113D8B6d050254AE84557CAa278aa58b658F5d7'], ['uint256', '240000000000000']]"
22,53390,53390 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x233ED4a9818EB003B70C8fa251b503E3BfF258E3'], ['uint256', '100000000000']]"
23,60000,53326 (88.88%),0 Ether ($0.00) ,transfer,"[['address', '0x6096003dce66CDF8B09Ab1dfA32Bd8eA69e50b6d'], ['uint256', '50000000000']]"
24,60000,38326 (63.88%),0 Ether ($0.00) ,transfer,"[['address', '0x6096003dce66CDF8B09Ab1dfA32Bd8eA69e50b6d'], ['uint256', '10000000000']]"
25,60000,38326 (63.88%),0 Ether ($0.00) ,transfer,"[['address', '0x6096003dce66CDF8B09Ab1dfA32Bd8eA69e50b6d'], ['uint256', '10000000000']]"
26,60000,53390 (88.98%),0 Ether ($0.00) ,transfer,"[['address', '0x4f3992B7f23E5ED4bEB7571A8fA41D83Fe17130f'], ['uint256', '20000000000']]"
27,120000,23390 (19.49%),0 Ether ($0.00) ,transfer,"[['address', '0x4f3992B7f23E5ED4bEB7571A8fA41D83Fe17130f'], ['uint256', '70000000000']]"
28,120000,53390 (44.49%),0 Ether ($0.00) ,transfer,"[['address', '0x28D2F2c19955DFbfa33cb31A82DEA21cc152558a'], ['uint256', '5000000000']]"
29,38390,38390 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xE8750162B416dA163212f38ddca3e5c22ba79820'], ['uint256', '1200000000000000']]"
30,38390,38390 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xE8750162B416dA163212f38ddca3e5c22ba79820'], ['uint256', '1200000000000000']]"
31,53454,53454 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xE8750162B416dA163212f38ddca3e5c22ba79820'], ['uint256', '1200000000000000']]"
32,60000,53454 (89.09%),0 Ether ($0.00) ,transfer,"[['address', '0xaABed6851f4E4513f23F46b82EdCa5D0D5A9B746'], ['uint256', '50000000000000']]"
33,120000,23454 (19.55%),0 Ether ($0.00) ,transfer,"[['address', '0x4f3992B7f23E5ED4bEB7571A8fA41D83Fe17130f'], ['uint256', '50000000000000']]"
34,120000,53390 (44.49%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
35,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
36,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
37,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
38,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
39,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
40,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
41,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
42,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
43,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
44,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
45,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
46,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
47,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
48,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
49,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
50,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
51,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
52,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
53,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
54,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
55,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
56,120000,38390 (31.99%),0 Ether ($0.00) ,transfer,"[['address', '0x8e6E8FDDb9A91Fb38bc00Db55CbAbE8cf5ac0934'], ['uint256', '500000000000']]"
