,GasLimit,GasUsage,Value,Method,Args
0,1200000,977494 (81.46%),0 Ether ($0.00) ,constructor,[]
1,100000,66142 (66.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0xE0D86a469Ad8378F22B7C69B8b4A0701dA0a9Bf3']]"
2,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0xF99215450f0d0c03Df48Fbe0931bC080F550B307']]"
3,100000,23340 (23.34%),0 Ether ($0.00) ,mintTokens,"[['address', '0xE0D86a469Ad8378F22B7C69B8b4A0701dA0a9Bf3']]"
4,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0x0E56f09FDD14d61E456fbc45C618fD4FF10256e2']]"
5,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0xEae529EBf6B2AccB1AA672e66d215Bb5f2C45Fb5']]"
6,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0x212063022380d7aDE7Dbba6dEA674C944fef5936']]"
7,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0x2e2134C4121EfeA08a8a5912FD0dB34c0421446A']]"
8,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0xBA10c84A1E09e280eA0eeFb4b46C239064905865']]"
9,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0x89ad81a4e12879884f8e714822D8630e6dEE156C']]"
10,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0x1F1Ad641f76056B381A028613408c6a941c39714']]"
11,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0xdaa6a0724bedbd311C1c23Ef1A5093B9b8EeCB80']]"
12,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0x7c1980d48Aeb24c35B726D031C32deBcC6b76a6e']]"
13,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0x4C2fC668daE1B69cc182884302ECE0314698629D']]"
14,100000,51078 (51.08%),0 Ether ($0.00) ,mintTokens,"[['address', '0x8d45e39807Ddf30046cf2c0706d08C28bF3DE736']]"
15,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0x5E54F0e9021d898BBC37BD4cA41cd31Dfc06F9b7']]"
16,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0xbc0117Db1A26f2F5eF6f40790f74c164bD06b2f7']]"
17,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0x4D81F52080aA4AF0333650E5F86053C427b1c0c0']]"
18,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0x6D2a6672209fBE6FBF2982a78eCa683D7a938D33']]"
19,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0x43B90770A3F3c535dF9f7f5c70B05bab813847f5']]"
20,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0xaBe4E8e73dfF98Fe44B8b668E523Afe3393C5fCD']]"
21,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0x89340ec9eB3D49f2A7bEeDCEE821e8F599e911D2']]"
22,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0xC13D57f61543bc46E1083b2a689E1D968f8Ac624']]"
23,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0x918f25A98dF7dA8D94418CE37356f08F20a6271B']]"
24,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0xDA826114B4BC291744C90764ebd494E8f1f1C9ad']]"
25,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0xAa14179fAf057705048c523B1EFB8760Ea6c07aC']]"
26,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0xC7f2c655561dA5FD929Aca9FE0375B5226c3A2bd']]"
27,100000,51142 (51.14%),0 Ether ($0.00) ,mintTokens,"[['address', '0x59D1E09c90398bb14DA0540A123ccd3A0bF0aD96']]"
