,GasLimit,GasUsage,Value,Method,Args
0,1215157,1012631 (83.33%),0 Ether ($0.00) ,constructor,[]
1,100000,100000 (100%),0.009 Ether  ($16.02)  -  [CANCELLED]  ,Transfer,[]
2,200000,200000 (100%),0.1 Ether  ($177.95)  -  [CANCELLED]  ,Transfer,[]
3,100000,100000 (100%),0.1 Ether  ($177.95)  -  [CANCELLED]  ,Transfer,[]
4,127105,27104 (21.32%),0 Ether ($0.00) ,enablePurchasing,[]
5,194239,94238 (48.52%),0.1 Ether  ($177.95) ,Transfer,"[['', '0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
6,100000,61844 (61.84%),0.0065 Ether  ($11.57) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
7,64239,64238 (100%),"1 Ether  ($1,779.45) ",Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
8,64239,49238 (76.65%),"1 Ether  ($1,778.85) ",Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
9,64239,49238 (76.65%),"1 Ether  ($1,778.85) ",Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
10,96357,64238 (66.67%),0.1 Ether  ($177.89) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
11,49239,49238 (100%),"12 Ether  ($21,346.20) ",Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
12,100000,64238 (64.24%),0.01 Ether  ($17.79) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
13,64239,64238 (100%),0.01 Ether  ($17.79) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
14,64239,64238 (100%),0.01 Ether  ($17.79) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
15,21413,21412 (100%),0 Ether ($0.00) ,Transfer,[]
16,49239,49238 (100%),0.01 Ether  ($17.79) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
17,49239,49238 (100%),0.01 Ether  ($17.79) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
18,49239,49238 (100%),0.01 Ether  ($17.79) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
19,64239,64238 (100%),0.01 Ether  ($17.79) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
20,100000,64238 (64.24%),0.01 Ether  ($17.78) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
21,96357,64238 (66.67%),0.02 Ether  ($35.56) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
22,200000,64238 (32.12%),0.1 Ether  ($177.82) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
23,100000,64238 (64.24%),"1 Ether  ($1,778.18) ",Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
24,92767,61844 (66.67%),0.001 Ether  ($1.78) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
25,73858,49238 (66.67%),0.01 Ether  ($17.78) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
26,73858,49238 (66.67%),0.01 Ether  ($17.78) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
27,73858,49238 (66.67%),0.01 Ether  ($17.78) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
28,64239,64238 (100%),0.1 Ether  ($177.82) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
29,100000,64238 (64.24%),"2 Ether  ($3,556.36) ",Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
30,100000,64238 (64.24%),0.37 Ether  ($657.93) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
31,64238,64238 (100%),0.01 Ether  ($17.78) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
32,64239,64238 (100%),0.025 Ether  ($44.45) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
33,100000,64238 (64.24%),0.01 Ether  ($17.78) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
34,21026,21026 (100%),0.01035 Ether  ($18.40)  -  [CANCELLED]  ,Transfer,[]
35,64238,64238 (100%),0.1 Ether  ($177.82) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
36,164239,64238 (39.11%),0.33333333 Ether  ($592.73) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
37,100000,49238 (49.24%),0.01 Ether  ($17.78) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
38,100000,64238 (64.24%),0.212 Ether  ($376.97) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
39,100000,64238 (64.24%),0.1 Ether  ($177.82) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
40,100000,64238 (64.24%),0.227 Ether  ($403.65) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
41,51953,51953 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xc1CA23A389CbA9dC05EC7F1Ef4F86Fe0B257a2dC'], ['uint256', '100000000000000000']]"
42,50000,50000 (100%),0.00382382 Ether  ($6.80)  -  [CANCELLED]  ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
43,200000,64238 (32.12%),0.1 Ether  ($177.95) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
44,100000,61844 (61.84%),0.00162382 Ether  ($2.89) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
45,100000,64238 (64.24%),0.2 Ether  ($355.90) ,Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
46,200000,49238 (24.62%),"10 Ether  ($17,795.10) ",Transfer,"[['', ' 0x00d0fd20924037c2b182d0aa0b139434a0b1a081']]"
