,GasLimit,GasUsage,Value,Method,Args
0,1765349,1765349 (100%),0 Ether ($0.00) ,constructor,[]
1,28852,28852 (100%),0 Ether ($0.00) ,transferOwnership,"[['address', '0xeAD7AdF1bf0DF9F03B15429D82ea1F70EBd619F1']]"
2,200000,24198 (12.1%),0 Ether ($0.00) ,transfer,"[['address', '0x9d5988cE74595B8c19A2322054B0879306361A76'], ['uint256', '18750000000000000000']]"
3,30000,21043 (70.14%),0.1 Ether  ($180.74)  -  [CANCELLED],Transfer,[]
4,50000,21043 (42.09%),0.1 Ether  ($180.74)  -  [CANCELLED],Transfer,[]
5,200000,21043 (10.52%),0.1 Ether  ($180.74)  -  [CANCELLED],Transfer,[]
6,21000,21000 (100%),0.1 Ether  ($180.74)  -  [CANCELLED]  ,Transfer,[]
7,23385,23385 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x9d5988cE74595B8c19A2322054B0879306361A76'], ['uint256', '18750000000000000000']]"
8,23260,23260 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x847667124A9001300D2ADeE4E7d03403A2fA3Fc7'], ['uint256', '18750000000000000000']]"
9,37005,37005 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x9347481AB8AF20B8877D9dFB991b96d4631FaB4C'], ['uint256', '25']]"
10,37517,37517 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x9347481AB8AF20B8877D9dFB991b96d4631FaB4C'], ['uint256', '24999999999999999975']]"
11,52453,52453 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x245bCa440E3A9F05cA66D7a2f41010C58b893dFa'], ['uint256', '38927540500000000000']]"
12,37325,37325 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x006605ae14d3DFD983f0fE48d246DB058E4E751A'], ['uint256', '25000000000000000000']]"
13,37325,37325 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x9347481AB8AF20B8877D9dFB991b96d4631FaB4C'], ['uint256', '12500000000000000000']]"
14,37325,37325 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x006605ae14d3DFD983f0fE48d246DB058E4E751A'], ['uint256', '125000000000000000000']]"
15,52389,37389 (71.37%),0 Ether ($0.00) ,transfer,"[['address', '0x58e1dcD69eCC7e34F7c23486cb962972b2bcd5fA'], ['uint256', '25000000000000000000']]"
16,37389,37389 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x9347481AB8AF20B8877D9dFB991b96d4631FaB4C'], ['uint256', '30500000000000000000']]"
17,37453,37453 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x58e1dcD69eCC7e34F7c23486cb962972b2bcd5fA'], ['uint256', '67091689750000000000']]"
18,37325,37325 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x642ed5d793518cD5143a198b9Ff85C8332379b5f'], ['uint256', '17500000000000000000']]"
19,37389,37389 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x4fa03EAc78CCC2D3755C199b2BB45f6742e05cb3'], ['uint256', '100000000000000000000']]"
20,52453,52453 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x2ebe69dFab4023D0a8E9A49Be2702BA737fDBb79'], ['uint256', '100000000000000000000000']]"
21,1000000,52389 (5.24%),0 Ether ($0.00) ,transfer,"[['address', '0x5d5c1B8fC0F8B1eBFd353d198cA3a559b0f7ce92'], ['uint256', '4475000000000000000000']]"
22,200000,52389 (26.19%),0 Ether ($0.00) ,transfer,"[['address', '0xe77dBB33f2360E0d9a74b77aE0a204cb7Ccd2472'], ['uint256', '800000000000000000000']]"
23,200000,52453 (26.23%),0 Ether ($0.00) ,transfer,"[['address', '0x40A470672786b6f9aeBEd2aC483FEE0509fD1a15'], ['uint256', '42875000000000000000000']]"
24,37325,37325 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x245bCa440E3A9F05cA66D7a2f41010C58b893dFa'], ['uint256', '10000000000000000000']]"
25,150000,21043 (14.03%),0.07 Ether  ($126.52)  -  [CANCELLED],Transfer,[]
26,150000,21043 (14.03%),"0.6 Ether  ($1,084.45)  -  [CANCELLED]",Transfer,[]
27,52389,52389 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xb4757FD347190cb2416fB1748AFe4e097780F49F'], ['uint256', '2195000000000000000000']]"
28,37261,37261 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x16b2D0D8Cb1ED71F87985eFdAd4aa4D6CAaa008f'], ['uint256', '17500000000000000000']]"
29,37325,37325 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xbd846B0F2B883f5028233A886ab0C1C1553EC2De'], ['uint256', '13000000000000000000']]"
30,37453,37453 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xcb82C5F377eFDc8cAbfA3fa5AB12a5D056189199'], ['uint256', '718545320000000000000']]"
31,37389,37389 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xf86C9613F8DDA3c21816E5d3Db3C55b0186e27bd'], ['uint256', '25000000000000000000']]"
32,37325,37325 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xC5A094134bfD4143B3f34D87d2a627d25e4cb82A'], ['uint256', '13125000000000000000']]"
33,37389,37389 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x7338c4e97B53C30956eA209838aC71a63e99028b'], ['uint256', '10490625000000000000']]"
34,37453,37453 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x7338c4e97B53C30956eA209838aC71a63e99028b'], ['uint256', '50625000000000000000']]"
35,37453,37453 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x927d5797683A9813A4BBe65292B917dAb54a1b3A'], ['uint256', '20625000000000000000']]"
