,GasLimit,GasUsage,Value,Method,Args
0,1695891,1695891 (100%),0 Ether ($0.00) ,constructor,[]
1,52084,52084 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x84ae304477B90c8D2d6f90b0544cDb7D3d194a36'], ['uint256', '10000000000']]"
2,60000,52084 (86.81%),0 Ether ($0.00) ,transfer,"[['address', '0x7a58751794cc6cD5D49cfaA249eb9739bd1D1F61'], ['uint256', '5000000000']]"
3,60000,51956 (86.59%),0 Ether ($0.00) ,transfer,"[['address', '0xA538EFc929DFe6480532b9CB5E240012612134B5'], ['uint256', '1000000000']]"
4,60000,52020 (86.7%),0 Ether ($0.00) ,transfer,"[['address', '0xB7E4775Fa54f236759DbdD79A523E8E37FEb5665'], ['uint256', '700000000']]"
5,60000,51956 (86.59%),0 Ether ($0.00) ,transfer,"[['address', '0xC75bE6BBd7127A08D805E0000f35ac49ac023720'], ['uint256', '100000000']]"
6,60000,52020 (86.7%),0 Ether ($0.00) ,transfer,"[['address', '0x4963ba274CBBfa69Ae0745CFF43A4572c27f8c9a'], ['uint256', '100000000']]"
7,60000,52020 (86.7%),0 Ether ($0.00) ,transfer,"[['address', '0x9814be9f4E6A5a991Ab4459F7588CbAe800B0221'], ['uint256', '100000000']]"
8,60000,52020 (86.7%),0 Ether ($0.00) ,transfer,"[['address', '0xaD338ea6F69Af80E16f3D1A86F5b576B28f292AF'], ['uint256', '100000000']]"
9,37084,37084 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x7a58751794cc6cD5D49cfaA249eb9739bd1D1F61'], ['uint256', '50000000000']]"
10,52084,52084 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xe1465Be9d885fCaae15892c38E386d2a0e54C80D'], ['uint256', '10000000000']]"
11,30000,30000 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xD0C31A6Cc7DA47043B01E6CA43dAc696D1E1cB72'], ['uint256', '1000000000']]"
12,60000,52020 (86.7%),0 Ether ($0.00) ,transfer,"[['address', '0xD0C31A6Cc7DA47043B01E6CA43dAc696D1E1cB72'], ['uint256', '1000000000']]"
13,60000,37020 (61.7%),0 Ether ($0.00) ,transfer,"[['address', '0xD0C31A6Cc7DA47043B01E6CA43dAc696D1E1cB72'], ['uint256', '200000000']]"
14,60000,37020 (61.7%),0 Ether ($0.00) ,transfer,"[['address', '0xD0C31A6Cc7DA47043B01E6CA43dAc696D1E1cB72'], ['uint256', '100000000']]"
