,GasLimit,GasUsage,Value,Method,Args
0,820091,683409 (83.33%),0 Ether ($0.00) ,constructor,[]
1,56042,46702 (83.33%),0 Ether ($0.00) ,initTokenBank,[]
2,50497,42081 (83.33%),"1.000000004327232 Ether  ($1,800.61) ",Deposit,[]
3,31702,31702 (100%),0 Ether ($0.00) ,initTokenBank,[]
4,25233,25233 (100%),0 Ether ($0.00) ,WithdrawToken,"[['address', '0x3A0E9acd953Ffc0dd18d63603488846a6b8b2B01'], ['uint256', '2000000000000000000'], ['address', '0xc93Be49C0A5bb918735983DafF8947c764898cE5']]"
5,31702,31702 (100%),0 Ether ($0.00) ,initTokenBank,[]
6,23712,23712 (100%),0 Ether ($0.00) ,WithdrawToHolder,"[['address', '0x03716b2d50ea54921a650Be124828a7328Bc4D63'], ['uint256', '1000000000000']]"
7,23776,23776 (100%),0 Ether ($0.00) ,WithdrawToHolder,"[['address', '0x03716b2d50ea54921a650Be124828a7328Bc4D63'], ['uint256', '100004327232000']]"
8,23189,23189 (100%),0 Ether ($0.00) ,changeOwner,"[['address', '0x03716b2d50ea54921a650Be124828a7328Bc4D63']]"
9,23761,23761 (100%),0 Ether ($0.00) ,WithdrawToken,"[['address', '0x03716b2d50ea54921a650Be124828a7328Bc4D63'], ['uint256', '1000000000'], ['address', '0x0000000000000000000000000000000000000000']]"
10,21761,21761 (100%),0 Ether ($0.00) ,confirmOwner,[]
11,23189,23189 (100%),0 Ether ($0.00) ,changeOwner,"[['address', '0x03716b2d50ea54921a650Be124828a7328Bc4D63']]"
12,23761,23761 (100%),0 Ether ($0.00) ,WithdrawToken,"[['address', '0x03716b2d50ea54921a650Be124828a7328Bc4D63'], ['uint256', '10000000'], ['address', '0x0000000000000000000000000000000000000000']]"
13,23520,23520 (100%),0 Ether ($0.00) ,WithdrawToHolder,"[['address', '0x03716b2d50ea54921a650Be124828a7328Bc4D63'], ['uint256', '1']]"
14,21761,21761 (100%),0 Ether ($0.00) ,confirmOwner,[]
15,28685,23904 (83.33%),0 Ether ($0.00) ,WithdrawToHolder,"[['address', '0x8868E3bcC4a4d5cA487a63F30Aa0823c66b763EE'], ['uint256', '1000000004327232000']]"
16,29446,24538 (83.33%),0 Ether ($0.00) ,WithdrawToHolder,"[['address', '0x3A0E9acd953Ffc0dd18d63603488846a6b8b2B01'], ['uint256', '1000000004327232000']]"
17,35833,14931 (41.67%),0 Ether ($0.00) ,WithdrawToHolder,"[['address', '0x8868E3bcC4a4d5cA487a63F30Aa0823c66b763EE'], ['uint256', '1000000004327232000']]"
