,GasLimit,GasUsage,Value,Method,Args
0,1186569,1186569 (100%),0 Ether ($0.00) ,constructor,[]
1,43621,29081 (66.67%),0 Ether ($0.00) ,transferOwnership,"[['address', '0xd81Dd021F9a32BD84cFAD41Ff2e485Bb9f228054']]"
2,167171,67171 (40.18%),0 Ether ($0.00) ,mintToken,"[['uint256', '10000000']]"
3,132629,32629 (24.6%),0 Ether ($0.00) ,setPrices,"[['uint256', '90000000000000'], ['uint256', '100000000000000']]"
4,21000,21000 (100%),0.01 Ether  ($17.83)  -  [CANCELLED]  ,Transfer,[]
5,60000,31002 (51.67%),0.01 Ether  ($17.83)  -  [CANCELLED]  ,Transfer,"[['', ' 0xcd8bf69ad65c5158f0cfaa599bbf90d7f4b52bb0']]"
6,151356,51356 (33.93%),0 Ether ($0.00) ,refillTokens,"[['uint256', '1000000']]"
7,59393,59393 (100%),0.05 Ether  ($89.15) ,Transfer,"[['', ' 0xcd8bf69ad65c5158f0cfaa599bbf90d7f4b52bb0']]"
8,117000,59601 (50.94%),0.01 Ether  ($17.83) ,Transfer,"[['', ' 0xcd8bf69ad65c5158f0cfaa599bbf90d7f4b52bb0']]"
9,117000,44601 (38.12%),0.01 Ether  ($17.83) ,Transfer,"[['', ' 0xcd8bf69ad65c5158f0cfaa599bbf90d7f4b52bb0']]"
10,59601,59601 (100%),0.0005 Ether  ($0.89) ,Transfer,"[['', ' 0xcd8bf69ad65c5158f0cfaa599bbf90d7f4b52bb0']]"
11,37235,37235 (100%),0 Ether ($0.00) ,mintToken,"[['uint256', '990000000']]"
12,36420,21420 (58.81%),0 Ether ($0.00) ,refillTokens,"[['uint256', '999000000']]"
13,59393,59393 (100%),0.1 Ether  ($178.31) ,Transfer,"[['', ' 0xcd8bf69ad65c5158f0cfaa599bbf90d7f4b52bb0']]"
14,59393,59393 (100%),"1 Ether  ($1,778.55) ",Transfer,"[['', ' 0xcd8bf69ad65c5158f0cfaa599bbf90d7f4b52bb0']]"
15,61339,46339 (75.55%),0 Ether ($0.00) ,transfer,"[['address', '0x8949412617036DC7c369815f5739372da135a5eD'], ['uint256', '10000'], ['', ' 0xcd8bf69ad65c5158f0cfaa599bbf90d7f4b52bb0']]"
16,59601,59601 (100%),0.01 Ether  ($17.79) ,Transfer,"[['', ' 0xcd8bf69ad65c5158f0cfaa599bbf90d7f4b52bb0']]"
17,132309,32309 (24.42%),0 Ether ($0.00) ,setPrices,"[['uint256', '1'], ['uint256', '240000000000000']]"
18,46483,31483 (67.73%),0 Ether ($0.00) ,transfer,"[['address', '0x8949412617036DC7c369815f5739372da135a5eD'], ['uint256', '100'], ['', ' 0xcd8bf69ad65c5158f0cfaa599bbf90d7f4b52bb0']]"
19,61547,46547 (75.63%),0 Ether ($0.00) ,transfer,"[['address', '0xe64cD39Cd5Cc180C9E8C83C8BDE0555b3b1C5228'], ['uint256', '500'], ['', ' 0xcd8bf69ad65c5158f0cfaa599bbf90d7f4b52bb0']]"
20,100000,32882 (32.88%),0 Ether ($0.00) ,transfer,"[['address', '0xe600a6958874991479c9dfcEAd4340Ae43963334'], ['uint256', '20000'], ['', ' 0xcd8bf69ad65c5158f0cfaa599bbf90d7f4b52bb0']]"
21,44393,44393 (100%),0.05 Ether  ($88.93) ,Transfer,"[['', ' 0xcd8bf69ad65c5158f0cfaa599bbf90d7f4b52bb0']]"
