,GasLimit,GasUsage,Value,Method,Args
0,1564332,1564332 (100%),0 Ether ($0.00) ,constructor,[]
1,52952,52952 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xe7A553dE904e08BE2F8F0a3D5990654Ea4B0b7D5'], ['uint256', '300000000000000000000000000']]"
2,52952,52952 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xD20f9a8aEe5B51a48f26A830F0C28Ee18eB949C2'], ['uint256', '150000000000000000000000000']]"
3,53016,53016 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x500D4BD9D2fEED51815cBb4513b14E272CF31A30'], ['uint256', '750000000000000000000000000']]"
4,52952,37952 (71.67%),0 Ether ($0.00) ,transfer,"[['address', '0x8c14E4Be53B99Ef4c2f0B2BF204EeC033685EBE3'], ['uint256', '300000000000000000000000000']]"
5,52952,52952 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x065a6F23AfB5591b907d234e3e1A7662e8DadaE8'], ['uint256', '10000000000000000000000']]"
6,52824,52824 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x1C76Ca0615D7e5D12d78b2707264CC25Ed14000d'], ['uint256', '1000000000000000000000']]"
7,52824,52824 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x79F0a5179E0091745ae9B05a3213BC3008abEeaE'], ['uint256', '3000000000000000000000']]"
8,121000,37888 (31.31%),0 Ether ($0.00) ,transfer,"[['address', '0x065a6F23AfB5591b907d234e3e1A7662e8DadaE8'], ['uint256', '900000000000000000000']]"
9,60000,52952 (88.25%),0 Ether ($0.00) ,transfer,"[['address', '0xd299c11cD7a6E75c76f99dC43c894b914dBC0a2C'], ['uint256', '10000000000000000000000']]"
10,60000,52888 (88.15%),0 Ether ($0.00) ,transfer,"[['address', '0x6632297f7BAA72B6fbE18ceA04060CF3Fb3580D4'], ['uint256', '1000000000000000000000']]"
11,60000,37888 (63.15%),0 Ether ($0.00) ,transfer,"[['address', '0x6632297f7BAA72B6fbE18ceA04060CF3Fb3580D4'], ['uint256', '224980000000000000000']]"
12,60000,52888 (88.15%),0 Ether ($0.00) ,transfer,"[['address', '0x3427dB1D1A74d41751AB991c476533712E27DC0d'], ['uint256', '100000000000000000000']]"
13,7600027,22753 (0.3%),0 Ether ($0.00) ,batchTransfer,"[['address[]', ''], ['uint256', '1000000000000000000000']]"
14,100077,100077 (100%),0 Ether ($0.00) ,batchTransfer,"[['address[]', '0x306ddDD10033DA1e2280e6a4baCb27CFAcE42E7A\n0x7Ccd39C2AeFeE78B02e9496971626Bc779c2430C\n0xE1d46ebb47C288d760aA956C36821a4581fB18e4\n'], ['uint256', '1000000000000000000000']]"
15,54536,52888 (96.98%),0 Ether ($0.00) ,transfer,"[['address', '0xFCbe7c72B4b775E5703234dc6b3D1536769504Ca'], ['uint256', '1000000000000000000000']]"
16,60000,52888 (88.15%),0 Ether ($0.00) ,transfer,"[['address', '0x1e4f450Ef518d2fC93a13567Bf014d065d87b691'], ['uint256', '1000000000000000000000']]"
17,114019,76013 (66.67%),0 Ether ($0.00) ,batchTransfer,"[['address[]', '0x3b784E8d9C61e087F9a4210f2AE39eeFA3C69b9C\n0x37E61c8dd67160ff9565FB311380Ad526e4b8f69\n'], ['uint256', '57896044618658097711785492504343953926634992332820282019728792003956564819968']]"
18,69019,23007 (33.33%),0 Ether ($0.00) ,batchTransfer,"[['address[]', '0x3b784E8d9C61e087F9a4210f2AE39eeFA3C69b9C\n0x37E61c8dd67160ff9565FB311380Ad526e4b8f69\n'], ['uint256', '57896044618658097711785492504343953926634992332820282019728792003956564819968']]"
19,176013,76013 (43.19%),0 Ether ($0.00) ,batchTransfer,"[['address[]', '0x3F3f51FB6153745896Eb5D7324b9f3554B903c4b\n0xe44058Ef4528707C4882d1D330BA2750Aa15b9aB\n'], ['uint256', '57896044618658097711785492504343953926634992332820282019728792003956564819968']]"
