,GasLimit,GasUsage,Value,Method,Args
0,1375575,1375575 (100%),0 Ether ($0.00) ,constructor,"[['', ' &nbsp;0x30dda19c0b94a88ed8784868ec1e9375d9f0e27c']]"
1,28190,28190 (100%),0 Ether ($0.00) ,startPreSale,[]
2,200000,85876 (42.94%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0x1FD2c6BCAEEc0880B64539cC0ECde9E1d81e0eb2'], ['uint256', '78560000000000000000'], ['uint256', '8880'], ['string', 'e2a873483052a4416f65c422b3c7bd853cff765cb652cd728890f0715269e50b#DdzFFzCqrhsh8ggyL4ZgzzNN4NMRwxgqWDf66BpadzH7yNho1bndxsfRszSH4kjXzBn5fw9S5mYBa5Ca8KKWkPP1R1qdhQinevLzctvA']]"
3,200000,63122 (31.56%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0x107eCe1860690B12622777c2C9D6D0b213f7a1ed'], ['uint256', '20689640000000000000000'], ['uint256', '8880'], ['string', '0xf17a3120034dde9d9647105c94f13c7e87d3157a1484fa50d70d6f700e5f9d4e']]"
4,200000,62994 (31.5%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0x79661aC455865123414C689CB200f29E5ddc12bA'], ['uint256', '4449960000000000000000'], ['uint256', '8880'], ['string', '0xbafa1c2e3f10e5e51e1445c5fdebc03d8b40b0fbb2215fb441e20e150391d6e7']]"
5,200000,63122 (31.56%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0x140fb29E79c88691a61a92c531Fad74BAB6553e4'], ['uint256', '20219850000000000000000'], ['uint256', '8880'], ['string', '0xc9f34ec42108d9b51cfcc56903b6b89f2d7144932be9ebbb4e38df9bad4f27d5']]"
6,200000,63122 (31.56%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0xee8E38219e8379286b3707da345a46543195856F'], ['uint256', '48949560000000000000000'], ['uint256', '8880'], ['string', '0xac37b837c7d79d2080772af69d9494a4d77dd42e9d2320cde83db8c839e97958']]"
7,200000,63122 (31.56%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0x2451e6930E8cd11F8C26e777ccf4A40EF39c18a3'], ['uint256', '197776000000000000000000'], ['uint256', '8880'], ['string', '0x706312f4737662c1e6a05021594026d297ed563d18aed0ef0eac1d05dd85d00a']]"
8,200000,65632 (32.82%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0x0B903e418366924076fd26117e1C115862F02801'], ['uint256', '150836410000000000000000'], ['uint256', '8880'], ['string', '2846A91C5B23E0456A6CD729229D0BB1FD97D5D856427362C4DCA1191ED11BDA#1Kyqq6V5sLaaWttpHTayUM6pmTb1HZvbFZ']]"
9,200000,63122 (31.56%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0x5eB08b376Add73af1F9BbDC76a9bB61c11020C12'], ['uint256', '49444000000000000000000'], ['uint256', '8880'], ['string', '0x0c4da8c82fdfd5f56a77cadba0cdb3d9af87469288a150f0ec222c2d8bc96549']]"
10,200000,63058 (31.53%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0x0eD3C571A957A4d314cE0A53B5d2960A922B7d45'], ['uint256', '3870890000000000000000'], ['uint256', '8880'], ['string', '0xa750c6e3b62cbe828dfc2454634ec9bf26c22e62f15faeedc17021e935345bb6']]"
11,200000,63122 (31.56%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0x374301Dad2DC730fF9d3fBe813C744561dC761Bd'], ['uint256', '56247490000000000000000'], ['uint256', '8880'], ['string', '0xafdd0b1131ec44f0ab05d60d8490829254b6d0bc869c0710ecf5fd5415bd31ee']]"
12,200000,63058 (31.53%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0xDA5D6B9dFcaA64633949095B56eC40e1b52EdFd2'], ['uint256', '14833200000000000000000'], ['uint256', '8880'], ['string', '0x8f553932af9ebab82e1b4b0572b46689f8bbce0c04d56e292c6471704e88c84b']]"
13,200000,48122 (24.06%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0xDA5D6B9dFcaA64633949095B56eC40e1b52EdFd2'], ['uint256', '24722000000000000000000'], ['uint256', '8880'], ['string', '0x0ce32159b7b3fb66d4a2d30eaac610fb522b76b32eac08d59ebc51fd56626129']]"
14,200000,63122 (31.56%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0xC1BA577b68a84E2228c71327Af915dF5ebfD3f41'], ['uint256', '30951940000000000000000'], ['uint256', '8880'], ['string', '0x98c98519676bf8a69052542f05f89b6431052701d0a42d9c5a02f208557674e3']]"
15,200000,63122 (31.56%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0x46620457DD35591AC7E19E80CB655497322849D2'], ['uint256', '19777600000000000000000'], ['uint256', '8880'], ['string', '0xfb65f64b37cc415234c6693a926351c5fcf6c8a74c9b718359501c5323a96af4']]"
16,200000,63122 (31.56%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0xB25B0C093C1b9C2b44a2217DA17756fF5DD1b81d'], ['uint256', '26699760000000000000000'], ['uint256', '8880'], ['string', '0x35da5436f57ff99b5dcb9ba0da3e68ca0e5c11a7f1451ed83131c84ab01af513']]"
17,200000,48122 (24.06%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0xDA5D6B9dFcaA64633949095B56eC40e1b52EdFd2'], ['uint256', '21755360000000000000000'], ['uint256', '8880'], ['string', '0x32aa3eb242e8a5d3ccbcb678827a2fe0eb13e0ab885e2390d399e2c90b486296']]"
18,200000,48122 (24.06%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0xB25B0C093C1b9C2b44a2217DA17756fF5DD1b81d'], ['uint256', '22744240000000000000000'], ['uint256', '8880'], ['string', '0x18e19e721becde99c478c7dca044b005a6632785ff3387c07d6e9d14c1533da7']]"
19,200000,48122 (24.06%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0xB25B0C093C1b9C2b44a2217DA17756fF5DD1b81d'], ['uint256', '22744240000000000000000'], ['uint256', '8880'], ['string', '0x24d409d89dd194a6318a7d7b0fa2084408761edfdc6a9aa59932638482c8df29']]"
20,200000,48122 (24.06%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0xB25B0C093C1b9C2b44a2217DA17756fF5DD1b81d'], ['uint256', '76143760000000000000000'], ['uint256', '8880'], ['string', '0xab4671636c2b3e58f3c054118d796bcd8acead135c14a207978d91835d856f71']]"
21,200000,63058 (31.53%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0x550Bb9d4481000a450526f58e5C994F8dcaE83c3'], ['uint256', '50000000000000000000000'], ['uint256', '8880'], ['string', '0xc1ff1de30fcbea8c759c0b81dc9fd700e275bc3d97feaf1a6003800a3dcadb9c']]"
22,200000,65632 (32.82%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0x8a637b32ce31a481040c91e3f23410B1a340a5EF'], ['uint256', '293029870000000000000000'], ['uint256', '8880'], ['string', 'CBAED9BF52BE7DA2D67E79799F72D548695DAF871ADE0AC2A1AA2480036D2C1E#1H6i6wL5ij2HRYGFTy9nf9rs9Pkiwwqtb9']]"
23,200000,63122 (31.56%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0x63169337443FD69a43EbF7d72AE11aa6a5999B4F'], ['uint256', '19777600000000000000000'], ['uint256', '8880'], ['string', '0x53f109c425fa450e766534aae82e7852882c30265ca0f6ccb79e319ccd409967']]"
24,200000,63122 (31.56%),0 Ether ($0.00) ,buyPreSaleTokens,"[['address', '0xD3EBedfE7200C6eC87e3E3DBDACEad2981bCDD2d'], ['uint256', '2205119330000000000000000'], ['uint256', '8880'], ['string', '0xc77895c0e6a8228380e4173bf4c65320227d4cf8e6808d6251a5701bb2d71708']]"
