,GasLimit,GasUsage,Value,Method,Args
0,316383,316383 (100%),0 Ether ($0.00) ,constructor,[]
1,393933,309208 (78.49%),0 Ether ($0.00) ,getTokens,"[['uint256', '10'], ['address', '0x02E0d32837313d9A5b0f88dB5f3Ef8075f4AFd1C']]"
2,119416,79250 (66.36%),0 Ether ($0.00) ,withdrawTokens,"[['address', '0x02E0d32837313d9A5b0f88dB5f3Ef8075f4AFd1C']]"
3,1000000,21046 (2.1%),0.0005 Ether  ($0.90)  -  [CANCELLED],Transfer,[]
4,100000,21046 (21.05%),0.001 Ether  ($1.80)  -  [CANCELLED],Transfer,[]
5,61597,25904 (42.05%),0 Ether ($0.00) ,withdrawTokens,"[['address', '0x63b173CdDe9580F49aD80F4F697c4Ed40f349Ed6']]"
6,34326,22884 (66.67%),0 Ether ($0.00) ,withdrawEther,[]
7,393933,309208 (78.49%),0 Ether ($0.00) ,getTokens,"[['uint256', '10'], ['address', '0x02E0d32837313d9A5b0f88dB5f3Ef8075f4AFd1C']]"
8,58161,38394 (66.01%),0 Ether ($0.00) ,getTokens,"[['uint256', '10'], ['address', '0x0029b494669cfE56E8cDBCafF074940CC107a970']]"
9,61597,25904 (42.05%),0 Ether ($0.00) ,withdrawTokens,"[['address', '0x63b173CdDe9580F49aD80F4F697c4Ed40f349Ed6']]"
10,393933,309208 (78.49%),0 Ether ($0.00) ,getTokens,"[['uint256', '10'], ['address', '0x4a1b1d67804D272ba616337A171a93e644f2f672']]"
11,84454,40904 (48.43%),0 Ether ($0.00) ,withdrawTokens,"[['address', '0x95986d6fF6Edf1e24d4344D6a27aEA038bE72A7E']]"
12,4053783,2749108 (67.82%),0 Ether ($0.00) ,getTokens,"[['uint256', '100'], ['address', '0x4a1b1d67804D272ba616337A171a93e644f2f672']]"
13,4053783,2734108 (67.45%),0 Ether ($0.00) ,getTokens,"[['uint256', '100'], ['address', '0x4a1b1d67804D272ba616337A171a93e644f2f672']]"
14,4437933,3005208 (67.72%),0 Ether ($0.00) ,getTokens,"[['uint256', '110'], ['address', '0x4a1b1d67804D272ba616337A171a93e644f2f672']]"
15,4844583,3276308 (67.63%),0 Ether ($0.00) ,getTokens,"[['uint256', '120'], ['address', '0x4a1b1d67804D272ba616337A171a93e644f2f672']]"
16,3624633,2463008 (67.95%),0 Ether ($0.00) ,getTokens,"[['uint256', '90'], ['address', '0x4a1b1d67804D272ba616337A171a93e644f2f672']]"
17,4844583,3276308 (67.63%),0 Ether ($0.00) ,getTokens,"[['uint256', '120'], ['address', '0x4a1b1d67804D272ba616337A171a93e644f2f672']]"
18,4053783,2749108 (67.82%),0 Ether ($0.00) ,getTokens,"[['uint256', '100'], ['address', '0x7E4E2c2D2848F4eBdA8D5b068D3574b1c1A17979']]"
19,84454,40904 (48.43%),0 Ether ($0.00) ,withdrawTokens,"[['address', '0xcE34dfAE1B778d6a646b7ffBA0424fd6B3D280b2']]"
20,7200026,5460108 (75.83%),0 Ether ($0.00) ,getTokens,"[['uint256', '200'], ['address', '0xcD42b7AFF4FDcE4E02519162A0132dBe81228d70']]"
21,84454,40904 (48.43%),0 Ether ($0.00) ,withdrawTokens,"[['address', '0x895B5651AfB9de74c8Cc3B4f35B80D70c4bBC429']]"
