,GasLimit,GasUsage,Value,Method,Args
0,1310350,1210349 (92.37%),0 Ether ($0.00) ,0x60a06040,[]
1,152463,52462 (34.41%),0 Ether ($0.00) ,transfer,"[['address', '0x3487cF393412E91Ae488c77030644AF0790e44ed'], ['uint256', '10000000000000000000000']]"
2,162636,62635 (38.51%),0 Ether ($0.00) ,setPrices,"[['uint256', '100000000000000'], ['uint256', '100000000000000']]"
3,35000,35000 (100%),0.01 Ether  ($17.78)  -  [CANCELLED]  ,buy,[]
4,90000,37014 (41.13%),0 Ether ($0.00) ,transfer,"[['address', '0x3487cF393412E91Ae488c77030644AF0790e44ed'], ['uint256', '10']]"
5,90000,37462 (41.62%),0 Ether ($0.00) ,transfer,"[['address', '0x3487cF393412E91Ae488c77030644AF0790e44ed'], ['uint256', '10000000000000000000000']]"
6,90000,37462 (41.62%),0 Ether ($0.00) ,transfer,"[['address', '0x3487cF393412E91Ae488c77030644AF0790e44ed'], ['uint256', '10000000000000000000000']]"
7,34792,34792 (100%),0.01 Ether  ($17.80)  -  [CANCELLED]  ,buy,[]
8,40000,40000 (100%),0.05 Ether  ($88.99)  -  [CANCELLED]  ,buy,[]
9,132124,32123 (24.31%),0 Ether ($0.00) ,setPrices,"[['uint256', '100'], ['uint256', '100']]"
10,35000,35000 (100%),0.01 Ether  ($17.80)  -  [CANCELLED]  ,buy,[]
11,133020,33019 (24.82%),0 Ether ($0.00) ,setPrices,"[['uint256', '89000000000000000000000'], ['uint256', '90000000000000000000000']]"
12,34792,34791 (100%),0.01 Ether  ($17.80) ,buy,[]
13,32380,32379 (100%),0 Ether ($0.00) ,setPrices,"[['uint256', '8900000'], ['uint256', '9000000']]"
14,44014,44013 (100%),0 Ether ($0.00) ,transferFrom,"[['address', '0x61dc161B06088b9cbaaD53391134929A83D1EB7A'], ['address', '0xa8319E76Baa55C37F21A1A096fda459CC84ACFbC'], ['uint256', '0']]"
15,35000,35000 (100%),0.01 Ether  ($17.80)  -  [CANCELLED]  ,buy,[]
16,28357,28356 (100%),0 Ether ($0.00) ,approve,"[['address', '0xa8319E76Baa55C37F21A1A096fda459CC84ACFbC'], ['uint256', '0']]"
17,30000,30000 (100%),0.001 Ether  ($1.78)  -  [CANCELLED]  ,mintToken,"[['address', '0xa8319E76Baa55C37F21A1A096fda459CC84ACFbC'], ['uint256', '0']]"
18,33660,33659 (100%),0 Ether ($0.00) ,setPrices,"[['uint256', '890000000000000000000000000000000000000'], ['uint256', '900000000000000000000000000000000000000']]"
19,34792,34791 (100%),0.01 Ether  ($17.81) ,buy,[]
20,30000,30000 (100%),0 Ether ($0.00) ,setPrices,"[['uint256', '124000000000'], ['uint256', '125000000000']]"
21,137335,37334 (27.18%),0 Ether ($0.00) ,transfer,"[['address', '0xa8319E76Baa55C37F21A1A096fda459CC84ACFbC'], ['uint256', '1000000000000000']]"
22,30000,30000 (100%),0 Ether ($0.00) ,approve,"[['address', '0x61dc161B06088b9cbaaD53391134929A83D1EB7A'], ['uint256', '100000000000000']]"
23,30000,30000 (100%),0 Ether ($0.00) ,approve,"[['address', '0x61dc161B06088b9cbaaD53391134929A83D1EB7A'], ['uint256', '10000000000000']]"
24,30000,30000 (100%),0.001 Ether  ($1.78)  -  [CANCELLED]  ,transfer,"[['address', '0xa8319E76Baa55C37F21A1A096fda459CC84ACFbC'], ['uint256', '1000000000000000']]"
25,153485,53484 (34.85%),0 Ether ($0.00) ,mintToken,"[['address', '0x29B7146d087E67C9804aA8950937b29f01711f8f'], ['uint256', '10000000000000000000000']]"
26,35000,35000 (100%),0 Ether ($0.00) ,transferFrom,"[['address', '0x29B7146d087E67C9804aA8950937b29f01711f8f'], ['address', '0x3487cF393412E91Ae488c77030644AF0790e44ed'], ['uint256', '10000000000000000000000']]"
27,35000,35000 (100%),0 Ether ($0.00) ,transferFrom,"[['address', '0x3487cF393412E91Ae488c77030644AF0790e44ed'], ['address', '0x29B7146d087E67C9804aA8950937b29f01711f8f'], ['uint256', '10000000000000000000000']]"
28,37463,37462 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x29B7146d087E67C9804aA8950937b29f01711f8f'], ['uint256', '10000000000000000000000']]"
29,133020,33019 (24.82%),0 Ether ($0.00) ,setPrices,"[['uint256', '10000000000000000000000'], ['uint256', '10000000000000000000000']]"
30,34792,34791 (100%),0.001 Ether  ($1.78) ,buy,[]
31,132764,32763 (24.68%),0 Ether ($0.00) ,setPrices,"[['uint256', '1000000000000000000'], ['uint256', '1000000000000000000']]"
32,34792,34791 (100%),0.001 Ether  ($1.78) ,buy,[]
33,133404,33403 (25.04%),0 Ether ($0.00) ,setPrices,"[['uint256', '1000000000000000000000000000000000000'], ['uint256', '1000000000000000000000000000000000000']]"
34,34792,34791 (100%),0.01 Ether  ($17.79) ,buy,[]
35,143869,43868 (30.49%),0 Ether ($0.00) ,approve,"[['address', '0x8e875dB2eA2D8aB192593218b804aD2D4a795D44'], ['uint256', '100000000000000000000000']]"
36,132124,32123 (24.31%),0 Ether ($0.00) ,setPrices,"[['uint256', '10'], ['uint256', '20']]"
37,132764,32763 (24.68%),0 Ether ($0.00) ,setPrices,"[['uint256', '100000000000000000'], ['uint256', '100000000000000000']]"
38,34792,34791 (100%),0.001 Ether  ($1.78) ,buy,[]
