,GasLimit,GasUsage,Value,Method,Args
0,3670372,3570371 (97.28%),0 Ether ($0.00) ,constructor,[]
1,205111,105110 (51.25%),0.08 Ether  ($142.23) ,Transfer,[]
2,200000,75100 (37.55%),"1.14 Ether  ($2,026.74) ",Transfer,[]
3,200000,75100 (37.55%),"2.5 Ether  ($4,444.60) ",Transfer,[]
4,260000,75100 (28.88%),"4 Ether  ($7,111.36) ",Transfer,[]
5,200000,75110 (37.56%),"5 Ether  ($8,889.20) ",Transfer,[]
6,75100,75100 (100%),"0.75 Ether  ($1,333.38) ",Transfer,[]
7,210000,75100 (35.76%),"1 Ether  ($1,777.84) ",Transfer,[]
8,300000,75110 (25.04%),0.4 Ether  ($711.14) ,Transfer,[]
9,200000,75100 (37.55%),"18 Ether  ($31,946.94) ",Transfer,[]
10,200000,75100 (37.55%),"75 Ether  ($133,112.25) ",Transfer,[]
11,200000,75110 (37.56%),"1.525 Ether  ($2,706.62) ",Transfer,[]
12,200000,75100 (37.55%),"1 Ether  ($1,774.83) ",Transfer,[]
13,75110,75110 (100%),"5 Ether  ($8,874.15) ",Transfer,[]
14,200000,75100 (37.55%),"15 Ether  ($26,622.45) ",Transfer,[]
15,200000,75100 (37.55%),"1 Ether  ($1,774.83) ",Transfer,[]
16,250000,75100 (30.04%),0.2 Ether  ($354.97) ,Transfer,[]
17,300000,75100 (25.03%),"1 Ether  ($1,774.83) ",Transfer,[]
18,200000,75100 (37.55%),0.3 Ether  ($532.45) ,Transfer,[]
19,200000,75100 (37.55%),"3.99 Ether  ($7,081.57) ",Transfer,[]
20,200000,75100 (37.55%),"1 Ether  ($1,773.68) ",Transfer,[]
21,150000,75100 (50.07%),"5.5 Ether  ($9,755.24) ",Transfer,[]
22,200000,75110 (37.56%),"6.9 Ether  ($12,238.39) ",Transfer,[]
23,112651,45100 (40.04%),"15 Ether  ($26,605.20) ",Transfer,[]
24,200000,75100 (37.55%),"4.3 Ether  ($7,626.82) ",Transfer,[]
25,200000,75100 (37.55%),"2 Ether  ($3,547.36) ",Transfer,[]
26,200000,45100 (22.55%),"4.3 Ether  ($7,626.82) ",Transfer,[]
27,200000,75110 (37.56%),"1.925 Ether  ($3,414.33) ",Transfer,[]
28,200000,75100 (37.55%),"0.99 Ether  ($1,755.94) ",Transfer,[]
29,200000,75100 (37.55%),0.09 Ether  ($159.63) ,Transfer,[]
30,200000,75100 (37.55%),"0.99 Ether  ($1,755.94) ",Transfer,[]
31,200000,75110 (37.56%),"6.1 Ether  ($10,819.45) ",Transfer,[]
32,200000,75100 (37.55%),"2 Ether  ($3,547.36) ",Transfer,[]
33,200000,75100 (37.55%),"3.5 Ether  ($6,207.88) ",Transfer,[]
34,45100,45100 (100%),0.5 Ether  ($886.84) ,Transfer,[]
35,150000,75100 (50.07%),0.04 Ether  ($70.95) ,Transfer,[]
36,200000,75100 (37.55%),0.17 Ether  ($301.53) ,Transfer,[]
37,200000,75100 (37.55%),0.41 Ether  ($727.21) ,Transfer,[]
38,200000,75100 (37.55%),0.3 Ether  ($532.10) ,Transfer,[]
39,75100,75100 (100%),0.2 Ether  ($354.74) ,Transfer,[]
40,200000,75100 (37.55%),0.105 Ether  ($186.24) ,Transfer,[]
41,200000,75100 (37.55%),"3 Ether  ($5,321.04) ",Transfer,[]
42,200000,75100 (37.55%),"2.5 Ether  ($4,437.98) ",Transfer,[]
43,200000,75100 (37.55%),0.01 Ether  ($17.75) ,Transfer,[]
44,75100,75100 (100%),0.14 Ether  ($248.53) ,Transfer,[]
45,90000,75100 (83.44%),"1.21921072 Ether  ($2,164.33) ",Transfer,[]
46,200000,75110 (37.56%),"1 Ether  ($1,775.19) ",Transfer,[]
47,200000,45100 (22.55%),0.01 Ether  ($17.75) ,Transfer,[]
48,200000,75110 (37.56%),0.5 Ether  ($887.60) ,Transfer,[]
49,200000,75100 (37.55%),"1 Ether  ($1,775.19) ",Transfer,[]
50,200000,75110 (37.56%),"1 Ether  ($1,775.19) ",Transfer,[]
51,200000,75100 (37.55%),0.5 Ether  ($887.60) ,Transfer,[]
52,200000,45100 (22.55%),"0.734 Ether  ($1,302.70) ",Transfer,[]
53,90000,75100 (83.44%),"1 Ether  ($1,774.80) ",Transfer,[]
54,200000,75110 (37.56%),"8.5 Ether  ($15,085.80) ",Transfer,[]
55,200000,75100 (37.55%),"1 Ether  ($1,774.80) ",Transfer,[]
56,200000,75100 (37.55%),"6 Ether  ($10,648.80) ",Transfer,[]
57,200000,75100 (37.55%),0.1 Ether  ($177.48) ,Transfer,[]
58,200000,75100 (37.55%),0.12 Ether  ($212.98) ,Transfer,[]
59,100000,45100 (45.1%),"1.1 Ether  ($1,952.28) ",Transfer,[]
