,GasLimit,GasUsage,Value,Method,Args
0,4713985,4713985 (100%),0 Ether ($0.00) ,0x60028054,[]
1,156600,156600 (100%),0 Ether ($0.00) ,init,[]
2,45932,45932 (100%),0 Ether ($0.00) ,setGeneScienceAddress,"[['address', '0x2F09BfEFF6d70825FBC4d28a921aF37a38f4Ba16']]"
3,46787,46787 (100%),0 Ether ($0.00) ,setSaleAuctionAddress,"[['address', '0xe84E30aaCb41490a1BAf1d09416E970f1E6C6a1D']]"
4,47073,47073 (100%),0 Ether ($0.00) ,setSaleAuctionERC20Address,"[['address', '0xf34f8E5392e17a98C4863C0BabBE3a831d3d9574']]"
5,45975,45975 (100%),0 Ether ($0.00) ,setSiringAuctionAddress,"[['address', '0xbF4B10A3E9AaCf7755345DE8c9D1A06c184Bed7A']]"
6,29514,29514 (100%),0 Ether ($0.00) ,unpause,[]
7,300000,166385 (55.46%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '459666659315937666528710421763083194329163739319012180350408451128982309988\n1708178850837331143560127742536677923540121740711397593996309224356873312\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
8,300000,136385 (45.46%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '397559569377905213401146326980628153918642641374597020756176440139068935268\n1708178850837331143560127742536677923625041614807101425136744496164241536\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
9,300000,136385 (45.46%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '282700706674780671322642708295976993038879022504246678933883014054413370468\n1766789774891716634473733833335858600902735192602934521449951707837597697\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
10,300000,136449 (45.48%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '74771794484907561767062000172575789296992268526489271219780244036395339876\n1765010418411684692247285810340115305425486385531476393127299174478413952\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
11,300000,136129 (45.38%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '173333908626745054505710182216296794754448293040129349000431194658635421796\n1652857040276338030701471027578113641983944148050862658555098987552081952\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
12,300000,136321 (45.44%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '413568170029229732126000834364140669099166839405261345401772454653246607460\n1654638081753036669842906217262299876508098107084364283255320735192776707\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
13,300000,136257 (45.42%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '410034475899424198386239773530641850348742541694798522310169415422322017380\n1708178850837331143560127742536677923756062524198970707467013381783814275\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
14,300000,136001 (45.33%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '403234530311560593380904943312454955743838638533266169792685077602476693604\n1763283296828320354385439954686103109851883457208999199882262266591053888\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
15,300000,136129 (45.38%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '353766263370937468077145288023771416660921348155107735278211037009762485348\n1711575804117392124174255786437642397005534965628531661678523516301934628\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
16,300000,136385 (45.46%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '409920597084744031817213584698747980488540703002823883469607165886210346084\n1654688631653037577292521217915588037481835835844912170990912355239526401\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
17,300000,136577 (45.53%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '56820352236957918603945144927858627764379469482746128070419341195491741796\n1765119943195019991721451645088906322543868387666519177893937881590892608\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
18,300000,136321 (45.44%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '528508128251844208928114632076138129855682543662441130459395579149785601124\n1708178850837331143560127742536677924318238790114197601565510435002716257\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
19,300000,136385 (45.46%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '238971241821300166414745446249901900931130267807688522911734016450462061668\n1765064338305018993526875144370289344643265611495884141511195209991522435\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
20,300000,136193 (45.4%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '525316070566713956715065339133828483416191714402907439791274921626876183652\n1765064338305018993526875144370289344846446041304879881720976427582492737\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
21,300000,136449 (45.48%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '117220985390940892880210150616082820835111953019352598237047449114668897380\n1709905972420695481421973598190690118474678906449737825900036878355204130\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
22,300000,136257 (45.42%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '411747834430074458074117818470754225705342109529488238984376763087067352164\n1652966565059673330175636862326904658603516251416435162117935140580655200\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
23,300000,136321 (45.44%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '578202427385732539128705434252471861587348984481039906194296364305934882916\n1656309598446400009510175572197695093100977091796043272428909746836278400\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
24,300000,136449 (45.48%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '399823342179403692501031761517671854108139462729500263860806488265252246628\n1711521884224057822894666452407468357811777183110782181191353425937403010\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
25,300000,136321 (45.44%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '528622007066617320534778524837601675622420812556672323114749570707824412772\n1708177165840664446645140575848234985381763608139622885986301371866025028\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
26,300000,136193 (45.4%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '627410153401719381061633275133438578777800363100298869744667758514837490788\n1711577489114058821089242953126085336050432923208915158736529272976049250\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
27,300000,136577 (45.53%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '177255825988614217018124781065759614792599393325809800056072984095246944356\n1766789774891716634473733833335858601008412933450012032186439475579193444\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
28,300000,136449 (45.48%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '10932366213522309888688806285267180262925157377816401747699003073434388580\n1656309598446400009510175572197695093556070395504994101216037473938902112\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
29,300000,136513 (45.5%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '512901554325670335760883151394333456862439915016426619011043901685109987428\n1765008733415017995332298643651672366718881554164013100152212725518405700\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
30,300000,136577 (45.53%),0 Ether ($0.00) ,createWizzPanda,"[['uint256[2]', '452330102949392598406086176314578517704684751155300761895000723430936023140\n1711631409007393122368832287156259374866557333788800658219811982813499490\n'], ['uint256', '0'], ['address', '0xF6ec3b28b7DaEa20fBebd8B85939456e5dd4aAB6']]"
