,GasLimit,GasUsage,Value,Method,Args
0,1269475,1269475 (100%),0 Ether ($0.00) ,constructor,[]
1,54536,36606 (67.12%),0 Ether ($0.00) ,transfer,"[['address', '0x412F00C63d19A6782DDc52f98D7Ba48984253944'], ['uint256', '1000000000000000000000000000']]"
2,60000,36670 (61.12%),0 Ether ($0.00) ,transfer,"[['address', '0x162691C4993b03b23554bCF628e347D91D4f7432'], ['uint256', '1000000000000000000000000000']]"
3,60000,51606 (86.01%),0 Ether ($0.00) ,transfer,"[['address', '0x8238aD727Cf91e59578430a027DFfBf07cD3EF98'], ['uint256', '229560000000000000000000']]"
4,60000,51542 (85.9%),0 Ether ($0.00) ,transfer,"[['address', '0xE54E2066547C7D0a1B719Ade8a877CC8b01450C0'], ['uint256', '110000000000000000000']]"
5,60000,36734 (61.22%),0 Ether ($0.00) ,transfer,"[['address', '0x39Fc23d769749Ae88625f1eABBAFcB5950A06F7a'], ['uint256', '999770330000000000000000000']]"
6,68364,45576 (66.67%),0 Ether ($0.00) ,approve,"[['address', '0xe0a22d8f528048eA7dc39Fd660d2Ac1F1C959569'], ['uint256', '110000000000000000000']]"
7,60000,51542 (85.9%),0 Ether ($0.00) ,transfer,"[['address', '0xBF3CCaDD061F5DdAE1c4AA6475A45d9A857f6f05'], ['uint256', '4200000000000000000000']]"
8,60000,36478 (60.8%),0 Ether ($0.00) ,transfer,"[['address', '0x39Fc23d769749Ae88625f1eABBAFcB5950A06F7a'], ['uint256', '10000000000000000000']]"
9,60000,23611 (39.35%),0 Ether ($0.00) ,transfer,"[['address', '0xFd465Ef39e997F7533945D56B6d2136213Bd3dF6'], ['uint256', '0']]"
10,60000,51542 (85.9%),0 Ether ($0.00) ,transfer,"[['address', '0xFd465Ef39e997F7533945D56B6d2136213Bd3dF6'], ['uint256', '100000000000000000000']]"
11,60000,36670 (61.12%),0 Ether ($0.00) ,transfer,"[['address', '0xFd465Ef39e997F7533945D56B6d2136213Bd3dF6'], ['uint256', '4952845000000000000000000']]"
12,60000,51606 (86.01%),0 Ether ($0.00) ,transfer,"[['address', '0xED393fb6250730A566f5b22181d27899baD98B04'], ['uint256', '29400000000000000000000']]"
13,60000,51542 (85.9%),0 Ether ($0.00) ,transfer,"[['address', '0xb9a949345c6E78A1414c50CDb76B3C612db444F5'], ['uint256', '420000000000000000000']]"
14,60000,51542 (85.9%),0 Ether ($0.00) ,transfer,"[['address', '0xE26152E44016ed72923b6821e262EF0070767a47'], ['uint256', '10500000000000000000000']]"
15,60000,51606 (86.01%),0 Ether ($0.00) ,transfer,"[['address', '0x43782CaA375599312B33f2EcEc319Ca18e2Ee23e'], ['uint256', '14700000000000000000000']]"
16,60000,36542 (60.9%),0 Ether ($0.00) ,transfer,"[['address', '0xBF3CCaDD061F5DdAE1c4AA6475A45d9A857f6f05'], ['uint256', '4200000000000000000000']]"
17,60000,51542 (85.9%),0 Ether ($0.00) ,transfer,"[['address', '0x55A01442822A9269388316a9AF1559b4bc1a8eEd'], ['uint256', '100000000000000000000']]"
18,60000,51542 (85.9%),0 Ether ($0.00) ,transfer,"[['address', '0x80930f22829174d9b3bEbEb0CA07283B194A30a0'], ['uint256', '420000000000000000000']]"
19,60000,51542 (85.9%),0 Ether ($0.00) ,transfer,"[['address', '0xF5D5a5F8C70BE341cB30Fe4B98A4c68CE1a752B3'], ['uint256', '2520000000000000000000']]"
20,60000,36606 (61.01%),0 Ether ($0.00) ,transfer,"[['address', '0x8238aD727Cf91e59578430a027DFfBf07cD3EF98'], ['uint256', '225350000000000000000000']]"
21,60000,36542 (60.9%),0 Ether ($0.00) ,transfer,"[['address', '0xb9a949345c6E78A1414c50CDb76B3C612db444F5'], ['uint256', '420000000000000000000']]"
22,60000,51542 (85.9%),0 Ether ($0.00) ,transfer,"[['address', '0x3eDe3899837FAe3f948feF54d3aC2D068bA6D09e'], ['uint256', '2100000000000000000000']]"
23,60000,36606 (61.01%),0 Ether ($0.00) ,transfer,"[['address', '0x8238aD727Cf91e59578430a027DFfBf07cD3EF98'], ['uint256', '170000000000000000000000']]"
24,60000,36542 (60.9%),0 Ether ($0.00) ,transfer,"[['address', '0xBF3CCaDD061F5DdAE1c4AA6475A45d9A857f6f05'], ['uint256', '4200000000000000000000']]"
