,GasLimit,GasUsage,Value,Method,Args
0,1520297,1520297 (100%),0 Ether ($0.00) ,constructor,[]
1,151642,51642 (34.06%),0 Ether ($0.00) ,transfer,"[['address', '0x8965669fCC8891D7eEB6cFf1f5A740CC7465f6D4'], ['uint256', '2000000000000000000000000']]"
2,85000,71599 (84.23%),0 Ether ($0.00) ,Transfer,[]
3,85000,71599 (84.23%),0 Ether ($0.00) ,Transfer,[]
4,85000,71599 (84.23%),0 Ether ($0.00) ,Transfer,[]
5,250000, 45512 (18.2%),0 Ether ($0.00) ,approve,"[['address', '0x8d12A197cB00D4747a1fe03395095ce2A5CC6819'], ['uint256', '300000000000000000000']]"
6,85000,71599 (84.23%),0 Ether ($0.00) ,Transfer,[]
7, 85000,71599 (84.23%),0 Ether ($0.00) ,Transfer,[]
8,85000,71599 (84.23%),0 Ether ($0.00) ,Transfer,[]
9, 85000,71599 (84.23%),0 Ether ($0.00) ,Transfer,[]
10,71599,22700 (31.7%),0 Ether ($0.00) ,Transfer,[]
11,85000,71599 (84.23%),0 Ether ($0.00) ,Transfer,[]
12,85000,71599 (84.23%),0 Ether ($0.00) ,Transfer,[]
13,85000,71599 (84.23%),0 Ether ($0.00) ,Transfer,[]
14,85000,71599 (84.23%),0 Ether ($0.00) ,Transfer,[]
15,85000,22487 (26.46%),0 Ether ($0.00) ,Transfer,[]
16,23256,23256 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x6814908fFe738c3F729385d38621e8933832Ce8B'], ['uint256', '300000000000000000000']]"
17,23256,23256 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x6814908fFe738c3F729385d38621e8933832Ce8B'], ['uint256', '300000000000000000000']]"
18,200000,22700 (11.35%),0 Ether ($0.00) ,Transfer,[]
19,85000,71599 (84.23%),0 Ether ($0.00) ,Transfer,[]
20,71599,71599 (100%),0 Ether ($0.00) ,Transfer,[]
21,23256,23256 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x6814908fFe738c3F729385d38621e8933832Ce8B'], ['uint256', '300000000000000000000']]"
22,85000,22700 (26.71%),0 Ether ($0.00) ,Transfer,[]
23,85000,71599 (84.23%),0 Ether ($0.00) ,Transfer,[]
24,85000,71599 (84.23%),0 Ether ($0.00) ,Transfer,[]
25,85000,22487 (26.46%),0 Ether ($0.00) ,Transfer,[]
26,85000,71599 (84.23%),0 Ether ($0.00) ,Transfer,[]
