,GasLimit,GasUsage,Value,Method,Args
0,1108451,1008450 (90.98%),0 Ether ($0.00) ,constructor,[]
1,152072,52071 (34.24%),0 Ether ($0.00) ,transfer,"[['address', '0xF9A7D117D7c9d7d0E2C670AB61643Bc2e613969f'], ['uint256', '21000']]"
2,152200,52199 (34.3%),0 Ether ($0.00) ,transfer,"[['address', '0x82b9D1A47e5A0B5E693a2Ce33Ab8aF4f89cC53a5'], ['uint256', '10000000000']]"
3,152136,52135 (34.27%),0 Ether ($0.00) ,transfer,"[['address', '0x6358722DB984A492Ca85BdD79c9C605573ADF3Da'], ['uint256', '1000000000']]"
4,90000,36943 (41.05%),0 Ether ($0.00) ,transfer,"[['address', '0x33Ffd242a738D5a64b791cD0abae067cb70Dec36'], ['uint256', '0']]"
5,152200,52199 (34.3%),0 Ether ($0.00) ,transfer,"[['address', '0x3f63782616E50820Cc6A7d888eD2C0480d167DB6'], ['uint256', '10000000000']]"
6,80000,37199 (46.5%),0 Ether ($0.00) ,transfer,"[['address', '0x4B01721F0244E7c5B5F63c20942850E447f5a5Ee'], ['uint256', '10000000000']]"
7,152200,52199 (34.3%),0 Ether ($0.00) ,transfer,"[['address', '0x29c7EbbC1155f9F6F2a09eaA57Aa768b8ceB2fEA'], ['uint256', '50000000000']]"
8,90000,37007 (41.12%),0 Ether ($0.00) ,transfer,"[['address', '0x6358722DB984A492Ca85BdD79c9C605573ADF3Da'], ['uint256', '1']]"
9,90000,37135 (41.26%),0 Ether ($0.00) ,transfer,"[['address', '0x6358722DB984A492Ca85BdD79c9C605573ADF3Da'], ['uint256', '100000000']]"
10,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0x12f0f2726A5AF3E548111D7ce65A3eAB3f4861E6'], ['uint256', '5400000000']]"
11,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0x71A2606A922ce4104aC1477359e953Ce1064C6De'], ['uint256', '16200000000']]"
12,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0x08Eb7425DB4739308fba6B75b0efa1e068Eaa5a0'], ['uint256', '17280000000']]"
13,137264,37263 (27.15%),0 Ether ($0.00) ,transfer,"[['address', '0x29c7EbbC1155f9F6F2a09eaA57Aa768b8ceB2fEA'], ['uint256', '5000000000000']]"
14,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0x8e187d6277E7d961C20904925FD15eDAF57125b4'], ['uint256', '91800000000']]"
15,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0xD85Ac52897ae1c4722b1d08FeD371f1eBfF64AD0'], ['uint256', '24300000000']]"
16,90000,37199 (41.33%),0 Ether ($0.00) ,transfer,"[['address', '0x8e187d6277E7d961C20904925FD15eDAF57125b4'], ['uint256', '18000000000']]"
17,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0xe4DD313bcbb4223845056f2aF80248B37F6cbC6b'], ['uint256', '432000000000']]"
18,90000,52263 (58.07%),0 Ether ($0.00) ,transfer,"[['address', '0x425592Fd920E1702caA5aAc6cA8F555FE598Fa7C'], ['uint256', '47790000000']]"
19,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0xB586708AA9933F56e084B57DFCca06c3D2500391'], ['uint256', '21600000000']]"
20,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0xEc8A1125489B73625fedAa308F28D6Ae37e99967'], ['uint256', '208800000000']]"
21,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0x4A04B022F0a93162100d86d6897722eC2a69Dfef'], ['uint256', '38340000000']]"
22,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0xFDA7B4F51bdfD2941d97F24991d413D3df8F54e4'], ['uint256', '21600000000']]"
23,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0xB7ec85975230DA6F94B463752be63520b3AB0b6B'], ['uint256', '211140000000']]"
24,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0x2E90Ac9a3E9cE0e82d04646753f146eE0a1a9ff6'], ['uint256', '81000000000']]"
25,90000,52263 (58.07%),0 Ether ($0.00) ,transfer,"[['address', '0x681d989Da3a5104F07624d66AbD254c9493cf3B5'], ['uint256', '20250000000']]"
26,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0xDE9cdd98c472EE84dEC5d37FF436434821813B1B'], ['uint256', '72000000000']]"
27,90000,52135 (57.93%),0 Ether ($0.00) ,transfer,"[['address', '0x110D8858cb1Db873A4025D7954694A8077646DA4'], ['uint256', '3240000000']]"
28,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0xCaa68cd331AFf704763917E5f564E720058bD925'], ['uint256', '16200000000']]"
29,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0x0a0752D4808012AabD9d7A12296Bd43Ad3F41Bc0'], ['uint256', '405000000000']]"
30,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0x0f6C32649E928B5c0FBD5aA3cE1d6F12f46cdF9F'], ['uint256', '193500000000']]"
31,90000,37199 (41.33%),0 Ether ($0.00) ,transfer,"[['address', '0x0f6C32649E928B5c0FBD5aA3cE1d6F12f46cdF9F'], ['uint256', '81000000000']]"
32,90000,37199 (41.33%),0 Ether ($0.00) ,transfer,"[['address', '0x0f6C32649E928B5c0FBD5aA3cE1d6F12f46cdF9F'], ['uint256', '81000000000']]"
33,90000,37199 (41.33%),0 Ether ($0.00) ,transfer,"[['address', '0x0f6C32649E928B5c0FBD5aA3cE1d6F12f46cdF9F'], ['uint256', '198540000000']]"
34,90000,52263 (58.07%),0 Ether ($0.00) ,transfer,"[['address', '0xC1C2D63C7E5DE3D70b3590C94c2682bacFDCE39E'], ['uint256', '12150000000']]"
35,90000,52135 (57.93%),0 Ether ($0.00) ,transfer,"[['address', '0xA8BF269094Af3070873FBdc08914C2ea07f2F3fC'], ['uint256', '2700000000']]"
36,90000,52263 (58.07%),0 Ether ($0.00) ,transfer,"[['address', '0xa27fF7B2323ff5Dc5e9f2538d33Ff6fD0fC4792f'], ['uint256', '114750000000']]"
37,90000,52071 (57.86%),0 Ether ($0.00) ,transfer,"[['address', '0x0002ADf39358ACAa1589e78080cFa86A5700170D'], ['uint256', '87120000000']]"
38,90000,52263 (58.07%),0 Ether ($0.00) ,transfer,"[['address', '0xe0a8297CD0F92AACab64620616F77C2A5b5d8115'], ['uint256', '14850000000']]"
39,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0x0455De9D3E4f7a429eFc76684384f79f07c76341'], ['uint256', '688500000000']]"
40,90000,52263 (58.07%),0 Ether ($0.00) ,transfer,"[['address', '0xF1E0649E0AbFd6Cd64250a5B47B8E8C161B96195'], ['uint256', '17550000000']]"
41,90000,52263 (58.07%),0 Ether ($0.00) ,transfer,"[['address', '0x21DBA17B9d3de43AC5f7ECB080ba3969E58c6eF2'], ['uint256', '371250000000']]"
42,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0xbf75945F243E819dBb33AddD901797E81fE01B0C'], ['uint256', '5040000000']]"
43,90000,52263 (58.07%),0 Ether ($0.00) ,transfer,"[['address', '0x622163D0B8A86B501188250aA21ACB94aD81a443'], ['uint256', '371250000000']]"
44,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0x4746cF3E1B2d9ae8ab23c3851C9cd8a9E62122A1'], ['uint256', '90000000000']]"
45,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0x6D3A20542bcAAEccbF69Ab09AcFd1fAB669fF3Ee'], ['uint256', '18900000000']]"
46,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0x0b5C1362cEaFd5F3931FDd4981531468A4EFeFb3'], ['uint256', '45000000000']]"
47,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0x3CC74B967670c64A6D0fDc6F9158b13F3880B586'], ['uint256', '270000000000']]"
48,90000,52263 (58.07%),0 Ether ($0.00) ,transfer,"[['address', '0x04DFd5d06703AF28e756068a56E0dC5B4c02F15c'], ['uint256', '384750000000']]"
49,90000,37199 (41.33%),0 Ether ($0.00) ,transfer,"[['address', '0x6D3A20542bcAAEccbF69Ab09AcFd1fAB669fF3Ee'], ['uint256', '8100000000']]"
50,137136,37135 (27.08%),0 Ether ($0.00) ,transfer,"[['address', '0x29c7EbbC1155f9F6F2a09eaA57Aa768b8ceB2fEA'], ['uint256', '80000']]"
51,137264,37263 (27.15%),0 Ether ($0.00) ,transfer,"[['address', '0x29c7EbbC1155f9F6F2a09eaA57Aa768b8ceB2fEA'], ['uint256', '8000000000000']]"
52,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0x5BAA3FDF97056e6c7b76Cc1BC2Ee325aCfa2408F'], ['uint256', '6120000000']]"
53,90000,37135 (41.26%),0 Ether ($0.00) ,transfer,"[['address', '0x110D8858cb1Db873A4025D7954694A8077646DA4'], ['uint256', '2700000000']]"
