,GasLimit,GasUsage,Value,Method,Args
0,1136663,1136663 (100%),0 Ether ($0.00) ,0x60806040,[]
1,43212,43212 (100%),0 Ether ($0.00) ,AdjustDifficulty,"[['uint256', '8']]"
2,21040,21040 (100%),0.25 Ether  ($441.04) ,Transfer,[]
3,41970,41970 (100%),0 Ether ($0.00) ,OpenToThePublic,[]
4,95332,63555 (66.67%),0.01 Ether  ($17.65) ,wager,[]
5,299701,139801 (46.65%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
6,95332,63555 (66.67%),0.01 Ether  ($17.65) ,wager,[]
7,299701,139801 (46.65%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
8,95332,63555 (66.67%),0.01 Ether  ($17.65) ,wager,[]
9,95332,63555 (66.67%),0.01 Ether  ($17.65) ,wager,[]
10,299701,139801 (46.65%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
11,299701,139801 (46.65%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
12,282349,158233 (56.04%),0.05 Ether  ($88.26) ,donate,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
13,95332,63555 (66.67%),0.01 Ether  ($17.65) ,wager,[]
14,299701,139801 (46.65%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
15,76266,63555 (83.33%),0.01 Ether  ($17.67) ,wager,[]
16,239761,139801 (58.31%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
17,95332,63555 (66.67%),0.01 Ether  ($17.67) ,wager,[]
18,299701,139801 (46.65%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
19,95332,63555 (66.67%),0.01 Ether  ($17.67) ,wager,[]
20,299701,139801 (46.65%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
21,95332,63555 (66.67%),0.01 Ether  ($17.67) ,wager,[]
22,299701,139801 (46.65%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
23,42318,28212 (66.67%),0 Ether ($0.00) ,AdjustDifficulty,"[['uint256', '2']]"
24,95332,63555 (66.67%),0.01 Ether  ($17.67) ,wager,[]
25,299701,139801 (46.65%),0 Ether ($0.00) ,play,"[['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x93fc1a2360c97a3083e091346f8105972cd1534c'], ['', ' 0x1739e311ddbf1efdfbc39b74526fd8b600755ada']]"
26,95332,63555 (66.67%),0.01 Ether  ($17.68) ,wager,[]
27,65938,21547 (32.68%),0 Ether ($0.00) ,play,"[['', '0x7e474fe5cfb720804860215f407111183cbc2f85']]"
