,GasLimit,GasUsage,Value,Method,Args
0,1632266,1632266 (100%),0 Ether ($0.00) ,constructor,[]
1,54816,39816 (72.64%),0 Ether ($0.00) ,transferOwnership,"[['address', '0x824f08D551076bC8b385004Ae50A376E5B622D79']]"
2,90000,29765 (33.07%),0 Ether ($0.00) ,sellOffline,"[['address', '0x0000000000000000000000000000000000000000'], ['uint256', '1337']]"
3,90000,62349 (69.28%),0 Ether ($0.00) ,sellOffline,"[['address', '0xB048164642C8aab33ebEa10aB43a2181fe70e7ab'], ['uint256', '19324605']]"
4,90000,47221 (52.47%),0 Ether ($0.00) ,sellOffline,"[['address', '0xB048164642C8aab33ebEa10aB43a2181fe70e7ab'], ['uint256', '999']]"
5,90000,62157 (69.06%),0 Ether ($0.00) ,sellOffline,"[['address', '0x60990b307799737C35C71Cd4114D400D935E99a4'], ['uint256', '1']]"
6,90000,47157 (52.4%),0 Ether ($0.00) ,sellOffline,"[['address', '0x60990b307799737C35C71Cd4114D400D935E99a4'], ['uint256', '19']]"
7,90000,47157 (52.4%),0 Ether ($0.00) ,sellOffline,"[['address', '0xB048164642C8aab33ebEa10aB43a2181fe70e7ab'], ['uint256', '16']]"
8,90000,47157 (52.4%),0 Ether ($0.00) ,sellOffline,"[['address', '0xB048164642C8aab33ebEa10aB43a2181fe70e7ab'], ['uint256', '2']]"
9,90000,62157 (69.06%),0 Ether ($0.00) ,sellOffline,"[['address', '0xb703aE71f0e2843f8bcCfDBd0a3440aDBB6EDc55'], ['uint256', '1']]"
10,90000,62157 (69.06%),0 Ether ($0.00) ,sellOffline,"[['address', '0x11d52A47D3e115CD2EfCE0BC8Ba1F97e06D27399'], ['uint256', '5']]"
11,90000,62157 (69.06%),0 Ether ($0.00) ,sellOffline,"[['address', '0xeC1F1aA541d06D8EED76326578bAeA97Fa618e1F'], ['uint256', '10']]"
