,GasLimit,GasUsage,Value,Method,Args
0,1781820,1781820 (100%),0 Ether ($0.00) ,constructor,[]
1,79657,38105 (47.84%),0 Ether ($0.00) ,transfer,"[['address', '0xE9046650Eea177852637236217D10A12e9B0C933'], ['uint256', '1500000000000000000000000000']]"
2,79126,52751 (66.67%),0 Ether ($0.00) ,mintToken,"[['address', '0x6bB7CcB68e13e37Af0089Ab6654202b2fB3804a5'], ['uint256', '200']]"
3,210000,24016 (11.44%),0 Ether ($0.00) ,burnFrom,"[['address', '0x6bB7CcB68e13e37Af0089Ab6654202b2fB3804a5'], ['uint256', '200']]"
4,51241,19161 (37.39%),0 Ether ($0.00) ,burn,"[['uint256', '200']]"
5,29894,29894 (100%),0 Ether ($0.00) ,mintToken,"[['address', '0x6bB7CcB68e13e37Af0089Ab6654202b2fB3804a5'], ['uint256', '2009999999999999999800']]"
6,79894,53263 (66.67%),0 Ether ($0.00) ,mintToken,"[['address', '0x6bB7CcB68e13e37Af0089Ab6654202b2fB3804a5'], ['uint256', '2009999999999999999800']]"
7,51913,34609 (66.67%),0 Ether ($0.00) ,burn,"[['uint256', '999999999999999800']]"
8,23000,22462 (97.66%),0 Ether ($0.00) ,burn,"[['uint256', '3000000000000000000000']]"
9,34545,19545 (56.58%),0 Ether ($0.00) ,burn,"[['uint256', '2009000000000000000000']]"
10,60000,52977 (88.3%),0 Ether ($0.00) ,transfer,"[['address', '0x7ADd6e398a585e0A2d2d6d3d13a6fe86e1ffC1A1'], ['uint256', '1000000000000000000000']]"
11,60000,52977 (88.3%),0 Ether ($0.00) ,transfer,"[['address', '0x991681e7Bed267F91a5A384757A7bE6A1FCb7b84'], ['uint256', '100000000000000000000']]"
12,60000,53041 (88.4%),0 Ether ($0.00) ,transfer,"[['address', '0xc63836C501daE5c8f72f53d56F8505Fee0aDCD4a'], ['uint256', '770000000000000000000000']]"
13,50000,24093 (48.19%),0 Ether ($0.00) ,transfer,"[['address', '0x06901dF9372525BeD42Acd12724Ce880D2485C96'], ['uint256', '9950000000000000000']]"
14,60000,53041 (88.4%),0 Ether ($0.00) ,transfer,"[['address', '0x708ABa65E44e63Bc1d8B68bfdaD0D1084Cd85A39'], ['uint256', '7553000000000000000000']]"
15,60000,53041 (88.4%),0 Ether ($0.00) ,transfer,"[['address', '0x23444efF6d888Ff3eF7793d066D339dCD4A99E25'], ['uint256', '15106000000000000000000']]"
16,60000,53041 (88.4%),0 Ether ($0.00) ,transfer,"[['address', '0xF2E01B66f7816154eE602B7aE54b2FB65968AB8A'], ['uint256', '7553000000000000000000']]"
17,60000,53041 (88.4%),0 Ether ($0.00) ,transfer,"[['address', '0x02591f51a37509dc5e9A0c7b27FFB4a847908B47'], ['uint256', '7553000000000000000000']]"
18,60000,53041 (88.4%),0 Ether ($0.00) ,transfer,"[['address', '0xa36B2187b20e57d286dE0F12137539b45Fe3Fefe'], ['uint256', '75530000000000000000000']]"
19,60000,53041 (88.4%),0 Ether ($0.00) ,transfer,"[['address', '0x7b1005d7fc19c335bb28db79B13DEB2c690544B7'], ['uint256', '7553000000000000000000']]"
20,60000,53041 (88.4%),0 Ether ($0.00) ,transfer,"[['address', '0xA2744A71121Ad25bE15a71fA4e7b8Edcc135f3C1'], ['uint256', '5395000000000000000000']]"
21,60000,53041 (88.4%),0 Ether ($0.00) ,transfer,"[['address', '0x0913c5cB484075d9f9708030D1Ab11CC249E6493'], ['uint256', '7553000000000000000000']]"
22,60000,53041 (88.4%),0 Ether ($0.00) ,transfer,"[['address', '0x9f327061C924538D161DE8daC5dbAC5d78350754'], ['uint256', '15106000000000000000000']]"
23,60000,38041 (63.4%),0 Ether ($0.00) ,transfer,"[['address', '0x0913c5cB484075d9f9708030D1Ab11CC249E6493'], ['uint256', '7553000000000000000000']]"
