,GasLimit,GasUsage,Value,Method,Args
0,1694721,1594721 (94.1%),0 Ether ($0.00) ,constructor,[]
1,52682,52682 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x391ff6650390da17Be97c79E39B46aAeA08C4509'], ['uint256', '10000000000000000000000']]"
2,52682,52682 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x44f93Ff25465A4AA147274d52F6feB4a181F8A9C'], ['uint256', '160000000000000000000000000']]"
3,37746,37746 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x391ff6650390da17Be97c79E39B46aAeA08C4509'], ['uint256', '1000000000000000000000000000']]"
4,60000,52746 (87.91%),0 Ether ($0.00) ,transfer,"[['address', '0x484Ae3A5d3Df34E5a6E7EeF290EF1686C1d8559f'], ['uint256', '500000000000000000000000000']]"
5,54546,52746 (96.7%),0 Ether ($0.00) ,transfer,"[['address', '0x541E01962BD98EDcDC6cc11D85B052387C5DfCbC'], ['uint256', '28571429000000000000000000']]"
6,54546,52746 (96.7%),0 Ether ($0.00) ,transfer,"[['address', '0x5946D24a2bb9fB2e0cc808e70A0Cc838b33b023c'], ['uint256', '114285714000000000000000000']]"
7,54546,52746 (96.7%),0 Ether ($0.00) ,transfer,"[['address', '0x92022FABe22887C5a6513b0FF0F34aC236eA77d5'], ['uint256', '28571429000000000000000000']]"
8,54546,52746 (96.7%),0 Ether ($0.00) ,transfer,"[['address', '0x92800a4fe744ff30A7Dca7F766B60e763c8ACDE9'], ['uint256', '142857143000000000000000000']]"
9,60000,52682 (87.8%),0 Ether ($0.00) ,transfer,"[['address', '0xFadf8287eB301443300B93bB7BC3e344cd86724B'], ['uint256', '10000000000000000000000']]"
10,54418,52618 (96.69%),0 Ether ($0.00) ,transfer,"[['address', '0xf075ade7cF89637860005288d60f697026755E74'], ['uint256', '86000000000000000000000000']]"
11,52682,52682 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x2f9aA264856607cb1a4AfaCE835727250203EBd3'], ['uint256', '30000000000000000000000']]"
12,50000,50000 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xe1c88aA782afb365feBE982fd568f40c1f8dEF6f'], ['uint256', '1000000000000000000000']]"
13,50000,50000 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x51A414760528263Fe7343688A4f25483f3566339'], ['uint256', '1000000000000000000000']]"
14,78927,52618 (66.67%),0 Ether ($0.00) ,transfer,"[['address', '0x6ad248d98589905ff7726F16837910c7bCd72D34'], ['uint256', '1000000000000000000000']]"
15,78927,52618 (66.67%),0 Ether ($0.00) ,transfer,"[['address', '0xB7dB889c6Bf9bD9443b53561Ccb0f942F35AA88e'], ['uint256', '1000000000000000000000']]"
16,178927,52618 (29.41%),0 Ether ($0.00) ,transfer,"[['address', '0x487198cB3004e8Ec3EbB731d700427C1361A909f'], ['uint256', '1000000000000000000000']]"
17,78927,52618 (66.67%),0 Ether ($0.00) ,transfer,"[['address', '0x7494b1EE1616755168B6235BB426A54cf42dDB75'], ['uint256', '1000000000000000000000']]"
18,78927,52618 (66.67%),0 Ether ($0.00) ,transfer,"[['address', '0xF8359fe02c2f4746AD7e0d76CF410a18ab6d4eB5'], ['uint256', '1000000000000000000000']]"
19,78927,52618 (66.67%),0 Ether ($0.00) ,transfer,"[['address', '0xDFF4a49CD68D9B2391FFeba83fD6AF381BB254BC'], ['uint256', '1000000000000000000000']]"
