,GasLimit,GasUsage,Value,Method,Args
0,1108387,1008386 (90.98%),0 Ether ($0.00) ,constructor,[]
1,152136,52135 (34.27%),0 Ether ($0.00) ,transfer,"[['address', '0xbe92d04D7732D501357e14EE58D500f1d9470F08'], ['uint256', '10000000000']]"
2,90000,37135 (41.26%),0 Ether ($0.00) ,transfer,"[['address', '0x0dB364E9f67Be3166FE4dce5C1473d15345Fe2BB'], ['uint256', '2000000000']]"
3,152136,52135 (34.27%),0 Ether ($0.00) ,transfer,"[['address', '0xD0C903E940BEEB613d3ef64eAdD8b9342a9b36FD'], ['uint256', '2000000000']]"
4,90000,37135 (41.26%),0 Ether ($0.00) ,transfer,"[['address', '0x0dB364E9f67Be3166FE4dce5C1473d15345Fe2BB'], ['uint256', '1000000000']]"
5,152200,52199 (34.3%),0 Ether ($0.00) ,transfer,"[['address', '0x7e137923c17a296A0345f2C0922641B024FD89E3'], ['uint256', '10000000000']]"
6,80000,37199 (46.5%),0 Ether ($0.00) ,transfer,"[['address', '0x4B01721F0244E7c5B5F63c20942850E447f5a5Ee'], ['uint256', '10000000000']]"
7,152200,52199 (34.3%),0 Ether ($0.00) ,transfer,"[['address', '0x43A4919562f23eB8d390DC90b0caC2bbDd254fba'], ['uint256', '10000000000']]"
8,80000,22199 (27.75%),0 Ether ($0.00) ,transfer,"[['address', '0x4B01721F0244E7c5B5F63c20942850E447f5a5Ee'], ['uint256', '10000000000']]"
9,152200,52199 (34.3%),0 Ether ($0.00) ,transfer,"[['address', '0x51856375210b1F1a717c835829036a21e79923A0'], ['uint256', '10000000000']]"
10,152264,52263 (34.32%),0 Ether ($0.00) ,transfer,"[['address', '0x43A4919562f23eB8d390DC90b0caC2bbDd254fba'], ['uint256', '2500000000000']]"
11,80000,22263 (27.83%),0 Ether ($0.00) ,transfer,"[['address', '0x4B01721F0244E7c5B5F63c20942850E447f5a5Ee'], ['uint256', '2500000000000']]"
12,80000,24397 (30.5%),0 Ether ($0.00) ,transfer,"[['address', '0x4B01721F0244E7c5B5F63c20942850E447f5a5Ee'], ['uint256', '2500000000000']]"
13,80000,24397 (30.5%),0 Ether ($0.00) ,transfer,"[['address', '0x4B01721F0244E7c5B5F63c20942850E447f5a5Ee'], ['uint256', '2500000000000']]"
14,80000,52199 (65.25%),0 Ether ($0.00) ,transfer,"[['address', '0x3873249b9161360d345132572c5A354f27c689AC'], ['uint256', '499800000000']]"
15,80000,22199 (27.75%),0 Ether ($0.00) ,transfer,"[['address', '0x4B01721F0244E7c5B5F63c20942850E447f5a5Ee'], ['uint256', '499800000000']]"
16,80000,52199 (65.25%),0 Ether ($0.00) ,transfer,"[['address', '0x9ba26C7A9b1A1257bB1a79033ab1DEa3995FFef4'], ['uint256', '99800000000']]"
17,152264,37263 (24.47%),0 Ether ($0.00) ,transfer,"[['address', '0x9ba26C7A9b1A1257bB1a79033ab1DEa3995FFef4'], ['uint256', '2000000000000']]"
18,90000,52199 (58%),0 Ether ($0.00) ,transfer,"[['address', '0x05C51709C27De05C39323AEB557aDE6d7e1c3EB2'], ['uint256', '95238100']]"
19,152200,52199 (34.3%),0 Ether ($0.00) ,transfer,"[['address', '0x3498f585eC78d5e4e16740Dd7Da2723feB9cD813'], ['uint256', '5000000000']]"
20,90000,37135 (41.26%),0 Ether ($0.00) ,transfer,"[['address', '0x0dB364E9f67Be3166FE4dce5C1473d15345Fe2BB'], ['uint256', '1000000000']]"
