,GasLimit,GasUsage,Value,Method,Args
0,3500000,564378 (16.13%),0 Ether ($0.00) ,constructor,[]
1,178915,78915 (44.11%),0 Ether ($0.00) ,transfer,"[['address', '0x3D9C5f7426b8eD4488152D1fA733e23994dbd34A'], ['uint256', '1000000']]"
2,139481,39481 (28.31%),0 Ether ($0.00) ,burn,"[['uint256', '1000']]"
3,163979,63979 (39.02%),0 Ether ($0.00) ,transfer,"[['address', '0x9B27f38bF261EBBaa6080aEF7F983C834fc7418F'], ['uint256', '100000000000']]"
4,34500,34500 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x7a709Fc384F8BfB8CaCfeC55C4d7f9f6DeaA92C2'], ['uint256', '100000000']]"
5,95872,63915 (66.67%),0 Ether ($0.00) ,transfer,"[['address', '0x7a709Fc384F8BfB8CaCfeC55C4d7f9f6DeaA92C2'], ['uint256', '100000000']]"
6,100000,63915 (63.92%),0 Ether ($0.00) ,transfer,"[['address', '0x1A89EAE8Ba1A36c632acD1a0F8Df9D2Fbf96dc0e'], ['uint256', '100000000']]"
7, 100000,63915 (63.92%),0 Ether ($0.00) ,transfer,"[['address', '0x437B780393D021c69CD764EAF1855c92DC212198'], ['uint256', '100000000']]"
8,100000,63915 (63.92%),0 Ether ($0.00) ,transfer,"[['address', '0xC5BaF7f19E43a3C20f1e135804d564660F769606'], ['uint256', '100000000']]"
9,100000,63915 (63.92%),0 Ether ($0.00) ,transfer,"[['address', '0x5A8e7844BF7E9885fB2771969A6Bc2CcFcB4D824'], ['uint256', '100000000']]"
10,100000,63915 (63.92%),0 Ether ($0.00) ,transfer,"[['address', '0x0b9333b92034d4BEEe184583187f5a827cEf30DB'], ['uint256', '100000000']]"
11,100000,63915 (63.92%),0 Ether ($0.00) ,transfer,"[['address', '0x0d7B35Ee10099A5C19D53a74AE61Edb30D9d43B4'], ['uint256', '100000000']]"
12,100000,63915 (63.92%),0 Ether ($0.00) ,transfer,"[['address', '0x62c2869babeacf43c5D539eABB48B7783d03193d'], ['uint256', '100000000']]"
13,100000,63915 (63.92%),0 Ether ($0.00) ,transfer,"[['address', '0x68697688C6c89803256822C406368904324B1F40'], ['uint256', '100000000']]"
14,100000,63915 (63.92%),0 Ether ($0.00) ,transfer,"[['address', '0xA2BD177AfF4Bfb3471Fcb4fB28603A049063DD02'], ['uint256', '100000000']]"
15, 100000,63915 (63.92%),0 Ether ($0.00) ,transfer,"[['address', '0x3949825EB4203cBDD6130D2bFfC3aD9e11Af9033'], ['uint256', '100000000']]"
16, 100000,63915 (63.92%),0 Ether ($0.00) ,transfer,"[['address', '0xC37C8bA2157D8e6806c2e0f6C813c8d5aC26Cf30'], ['uint256', '100000000']]"
