,GasLimit,GasUsage,Value,Method,Args
0,1271665,1171665 (92.14%),0 Ether ($0.00) ,constructor,[]
1,23192,23192 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x24f1d1112E9f51Ff822c4E9bC915cEeB1196c52b'], ['uint256', '1000000000000000000']]"
2,52815,52815 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x24f1d1112E9f51Ff822c4E9bC915cEeB1196c52b'], ['uint256', '1000000000000000000']]"
3,50000,37879 (75.76%),0 Ether ($0.00) ,transfer,"[['address', '0x24f1d1112E9f51Ff822c4E9bC915cEeB1196c52b'], ['uint256', '1000000000000000000000000']]"
4,50000,38007 (76.01%),0 Ether ($0.00) ,transfer,"[['address', '0x24f1d1112E9f51Ff822c4E9bC915cEeB1196c52b'], ['uint256', '1000000000000000000000000000']]"
5,50000,24474 (48.95%),0 Ether ($0.00) ,transfer,"[['address', '0x24f1d1112E9f51Ff822c4E9bC915cEeB1196c52b'], ['uint256', '3998999999000000000000000000']]"
6,50000,38007 (76.01%),0 Ether ($0.00) ,transfer,"[['address', '0x24f1d1112E9f51Ff822c4E9bC915cEeB1196c52b'], ['uint256', '1000000000000000000000000000']]"
7,37943,37943 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x24f1d1112E9f51Ff822c4E9bC915cEeB1196c52b'], ['uint256', '2000000000000000000000000000']]"
8,50000,24474 (48.95%),0 Ether ($0.00) ,transfer,"[['address', '0x24f1d1112E9f51Ff822c4E9bC915cEeB1196c52b'], ['uint256', '998999999000000000000000000']]"
9,38071,38071 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x24f1d1112E9f51Ff822c4E9bC915cEeB1196c52b'], ['uint256', '998999998000000000000000000']]"
10,23192,23192 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x24f1d1112E9f51Ff822c4E9bC915cEeB1196c52b'], ['uint256', '1000000000000000000']]"
11,210000,52815 (25.15%),0 Ether ($0.00) ,transfer,"[['address', '0xd36948a15b63A0690ac87e6239C770F232c1F688'], ['uint256', '1000000000000000000']]"
