,GasLimit,GasUsage,Value,Method,Args
0,1783473,1783472 (100%),0 Ether ($0.00) ,constructor,[]
1,90000,28854 (32.06%),0 Ether ($0.00) ,transferOwnership,"[['address', '0x2f3F7f2e618BF09Eb5d25357544FF59cdfe0F613']]"
2,90000,90000 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x2f3F7f2e618BF09Eb5d25357544FF59cdfe0F613'], ['uint256', '300000000']]"
3,90000,52781 (58.65%),0 Ether ($0.00) ,transfer,"[['address', '0x2f3F7f2e618BF09Eb5d25357544FF59cdfe0F613'], ['uint256', '299999999']]"
4,90000,52717 (58.57%),0 Ether ($0.00) ,transfer,"[['address', '0x5E6E88605Fc4DF0ecd7e99D9E240E5fAc4Fa860F'], ['uint256', '20000000']]"
5,90000,37878 (42.09%),0 Ether ($0.00) ,mintToken,"[['address', '0x2f3F7f2e618BF09Eb5d25357544FF59cdfe0F613'], ['uint256', '700000000']]"
6,90000,37717 (41.91%),0 Ether ($0.00) ,transfer,"[['address', '0x5E6E88605Fc4DF0ecd7e99D9E240E5fAc4Fa860F'], ['uint256', '280000000']]"
7,90000,37717 (41.91%),0 Ether ($0.00) ,transfer,"[['address', '0x5E6E88605Fc4DF0ecd7e99D9E240E5fAc4Fa860F'], ['uint256', '100000000']]"
8,90000,37717 (41.91%),0 Ether ($0.00) ,transfer,"[['address', '0x5E6E88605Fc4DF0ecd7e99D9E240E5fAc4Fa860F'], ['uint256', '300000000']]"
9,90000,52781 (58.65%),0 Ether ($0.00) ,transfer,"[['address', '0x4e08B9f0e824Af5B7ec20230909893CfbA50190a'], ['uint256', '150000000']]"
10,52717,52717 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x1416B995914f4B96F08E0d8cb6F9f3eA6799c9f4'], ['uint256', '500000']]"
11,6358178,24141 (0.38%),0 Ether ($0.00) ,burnFrom,"[['address', '0x1416B995914f4B96F08E0d8cb6F9f3eA6799c9f4'], ['uint256', '500000']]"
12,35000,24141 (68.97%),0 Ether ($0.00) ,burnFrom,"[['address', '0x1416B995914f4B96F08E0d8cb6F9f3eA6799c9f4'], ['uint256', '500000']]"
13,90000,23895 (26.55%),0 Ether ($0.00) ,transfer,"[['address', '0x2f3F7f2e618BF09Eb5d25357544FF59cdfe0F613'], ['uint256', '1000000']]"
14,90000,23895 (26.55%),0 Ether ($0.00) ,transfer,"[['address', '0x2f3F7f2e618BF09Eb5d25357544FF59cdfe0F613'], ['uint256', '1000000']]"
15,90000,37717 (41.91%),0 Ether ($0.00) ,transfer,"[['address', '0x2f3F7f2e618BF09Eb5d25357544FF59cdfe0F613'], ['uint256', '999999']]"
16,90000,23767 (26.41%),0 Ether ($0.00) ,transfer,"[['address', '0x2f3F7f2e618BF09Eb5d25357544FF59cdfe0F613'], ['uint256', '1']]"
17,68269,45513 (66.67%),0 Ether ($0.00) ,freezeAccount,"[['address', '0x1416B995914f4B96F08E0d8cb6F9f3eA6799c9f4'], ['bool', 'true']]"
18,56817,37878 (66.67%),0 Ether ($0.00) ,mintToken,"[['address', '0x4e08B9f0e824Af5B7ec20230909893CfbA50190a'], ['uint256', '500000']]"
19,137589,37589 (27.32%),0 Ether ($0.00) ,transfer,"[['address', '0x2130d77dDD0c33d819BA56ECd5928C31ECBF4a41'], ['uint256', '10']]"
20,152717,52717 (34.52%),0 Ether ($0.00) ,transfer,"[['address', '0xC4a2dF33113822649b0957a6616834449990EE33'], ['uint256', '500000']]"
