,GasLimit,GasUsage,Value,Method,Args
0,1232118,1232118 (100%),0 Ether ($0.00) ,0x60806040,[]
1,31560,21040 (66.67%),0.15 Ether  ($265.48) ,Transfer,[]
2,21272,21272 (100%),0 Ether ($0.00) ,DranMe,[]
3,50000,41713 (83.43%),0 Ether ($0.00) ,DranMe,[]
4,42031,42031 (100%),0 Ether ($0.00) ,setSecret,"[['uint256', '5']]"
5,50713,26713 (52.67%),0 Ether ($0.00) ,DranMe,[]
6,31917,29637 (92.86%),0 Ether ($0.00) ,winPrize,"[['', '0x84ecb387395a1be65e133c75ff9e5fcc6f756db3']]"
7,67508,67508 (100%),0.02 Ether  ($35.40) ,becomePlayer,[]
8,29707,29707 (100%),0 Ether ($0.00) ,addSeed,"[['uint256', '115792089237316195423570985008687907853269984665640564039457584007913129639935']]"
9,30744,30744 (100%),0 Ether ($0.00) ,setSeed,"[['uint256', '40515948540925020973265170959111588746623062155340076979737421334906745207160'], ['uint256', '758865396729135232024679596765701650232053689779']]"
10,32255,30000 (93.01%),0 Ether ($0.00) ,claimPrize,"[['', '0x84ecb387395a1be65e133c75ff9e5fcc6f756db3']]"
