,GasLimit,GasUsage,Value,Method,Args
0,3249794,3249794 (100%),0 Ether ($0.00) ,constructor,[]
1,78750,52500 (66.67%),0 Ether ($0.00) ,transfer,"[['address', '0xF5Abe8B71F3ad9cc058c506aC84810d75E0d4A5c'], ['uint256', '10000000000000']]"
2,60000,52500 (87.5%),0 Ether ($0.00) ,transfer,"[['address', '0x108a14867e9994eD1220402b1D620404E210453F'], ['uint256', '50000000000000']]"
3,60000,52436 (87.39%),0 Ether ($0.00) ,transfer,"[['address', '0x2592B8f4fC4c06F3E21A3D7E624caa6370cCEf76'], ['uint256', '1000000000000']]"
4,60000,52500 (87.5%),0 Ether ($0.00) ,transfer,"[['address', '0x34fB7eFC25491b6a0850a0AE068C86Fa8F7844A1'], ['uint256', '2000000000000']]"
5,60000,52500 (87.5%),0 Ether ($0.00) ,transfer,"[['address', '0xd44C422b511FC140583EC7337Db847F3A3B92436'], ['uint256', '2000000000000']]"
6,60000,52436 (87.39%),0 Ether ($0.00) ,transfer,"[['address', '0x930107F8Eed9E09425768d00b12E630eCAFD7e47'], ['uint256', '2000000000000']]"
7,60000,52436 (87.39%),0 Ether ($0.00) ,transfer,"[['address', '0xe0c623605358224dce846D242FF3D6F576266820'], ['uint256', '1000000000000']]"
8,60000,52436 (87.39%),0 Ether ($0.00) ,transfer,"[['address', '0x910e0D44fE4fc5bB453395c14596384b0CBAf3dA'], ['uint256', '5000000000']]"
9,60000,52500 (87.5%),0 Ether ($0.00) ,transfer,"[['address', '0x4286eD6a8F6E902d1eC58d2A1dD1CdF476C71c7C'], ['uint256', '4000000000000']]"
10,60000,52500 (87.5%),0 Ether ($0.00) ,transfer,"[['address', '0x60b13049b7A0233Dc04FAa566D775bF0fb9BE10d'], ['uint256', '4625000000000']]"
11,60000,52500 (87.5%),0 Ether ($0.00) ,transfer,"[['address', '0x91C8d7AE54551e75CCC0d546A90c158aB2E28EA5'], ['uint256', '1875000000000']]"
