,GasLimit,GasUsage,Value,Method,Args
0,1520141,1520141 (100%),0 Ether ($0.00) ,constructor,[]
1,62657,62657 (100%),0 Ether ($0.00) ,setPrices,"[['uint256', '100000000000000'], ['uint256', '200000000000000']]"
2,79783,53189 (66.67%),0 Ether ($0.00) ,transfer,"[['address', '0x0F37dd19F5BBa5e4A6fB7281e1d135d8245A6Ef7'], ['uint256', '1000000000000000000000000000']]"
3,79687,53125 (66.67%),0 Ether ($0.00) ,transfer,"[['address', '0xFed8f30D332d231f596f333677a42288241d8Aae'], ['uint256', '10000000000000000000000000']]"
4,79495,52997 (66.67%),0 Ether ($0.00) ,transfer,"[['address', '0x87b35481d85dad0096dbEd04782c8c546407Ea42'], ['uint256', '5000000000000000000000000']]"
5,79783,53189 (66.67%),0 Ether ($0.00) ,transfer,"[['address', '0x332FC0755e935f989cE57AF4c762ac1a5A2A5fB2'], ['uint256', '23500000000000000000000000']]"
6,79687,53125 (66.67%),0 Ether ($0.00) ,transfer,"[['address', '0x3645CB02ce6208a03f02202137cd3Bc2D6F7d67C'], ['uint256', '810000000000000000000000']]"
7,79591,53061 (66.67%),0 Ether ($0.00) ,transfer,"[['address', '0x038165AeF3C1617009A51A8F94bD2DD2aDffa575'], ['uint256', '1000000000000000000000000']]"
8,79687,53125 (66.67%),0 Ether ($0.00) ,transfer,"[['address', '0xe49ae8cE76C05F13f35e69021aCB30a15002651e'], ['uint256', '3000000000000000000000000']]"
9,79687,53125 (66.67%),0 Ether ($0.00) ,transfer,"[['address', '0x5763C7A13aD911B7805f0D35Bd8Ce4Ab97B52Bcb'], ['uint256', '150000000000000000000000']]"
10,79687,53125 (66.67%),0 Ether ($0.00) ,transfer,"[['address', '0xd587920b6d014369f9E3BE56b6b9fA36F2F350f2'], ['uint256', '11600000000000000000000000']]"
11,79591,53061 (66.67%),0 Ether ($0.00) ,transfer,"[['address', '0x6328580448a59413714c94017a27010837Ba3828'], ['uint256', '1000000000000000000000000']]"
12,79591,53061 (66.67%),0 Ether ($0.00) ,transfer,"[['address', '0x6af0e3CD6309AF9886111983cFCAC47E6AF6192A'], ['uint256', '1000000000000000000000000']]"
