,GasLimit,GasUsage,Value,Method,Args
0,997685,897685 (89.98%),0 Ether ($0.00) ,constructor,[]
1,250000,45888 (18.36%),0 Ether ($0.00) ,approve,"[['address', '0x8d12A197cB00D4747a1fe03395095ce2A5CC6819'], ['uint256', '100000000000']]"
2,183632,83632 (45.54%),0 Ether ($0.00) ,distributeFUDD,"[['address', '0x7Fa0AC49f95078EdCd3F2B448414043782351709'], ['address', '0x97ad2D52e8363d7A727Fc04849705c1b9D2d61dF'], ['uint256', '10000000000000'], ['uint256', '0']]"
3,250000,45888 (18.36%),0 Ether ($0.00) ,approve,"[['address', '0x8d12A197cB00D4747a1fe03395095ce2A5CC6819'], ['uint256', '1000000000000']]"
4,250000,45888 (18.36%),0 Ether ($0.00) ,approve,"[['address', '0x8d12A197cB00D4747a1fe03395095ce2A5CC6819'], ['uint256', '10000000000']]"
5,3142937,3042937 (96.82%),0 Ether ($0.00) ,distributeFUDD,"[['address', '0x601982B49133e5223eD2653CfC384e9C9315b998'], ['address', '0x0528A94E35ea989Ed42b98F2bc09e2d849A87025'], ['address', '0x59B550D787eC087A59a5690EFb79630aC9F32108'], ['address', '0xaE17ebD7F3bb7f74340647F68304fBA0DCB7AA1D'], ['address', '0xbC63e6FDbbdd3AE1fA82225B717B3f44D8c4826b'], ['address', '0x1E7c26a52918eAdB261cA69c2CA756A6C0fA2439'], ['address', '0xCA2d630284e343C82307e5DbD7c4a6c0B65A42a4'], ['address', '0x56B63533b5CB700876e8F15838E514BF995d7424'], ['address', '0x2332279C9087C1215FB504cbFD39bC2486727211'], ['address', '0x4a3436fFEf536e614F01B1b4f780A98F15FC48AA'], ['address', '0xD68561fAb1e913E128eDCfddAC8B45337E0821a8'], ['address', '0x057c1F3E61b09FF651cdDa8340A2BCdE6DC69c9c'], ['address', '0xBB09c39C664B19d12e36ADF74963e11F00CE0804'], ['address', '0xeDa3ce39915150a98Fc32cbb5FA1373efD3Ce10e'], ['address', '0x93e4b3AF42FBb2c60070a6AaF8d15377B946d48C'], ['address', '0xF00bB9d3819b4343CDAf9558b0C1b48d73E4df60'], ['address', '0x9Fe1c07A4B2ee2842eEe679AE719bb23eD341C18'], ['address', '0xAa251b2106a4A73D78BB3d6c7Ae189Aff7733ba4'], ['address', '0xd5ec02e2c5f0Ae05cAb8AfC88B2519C9d4D6ba0A'], ['address', '0x17AD3d8FC464034Be87f53d984c8801E34fe16dD'], ['address', '0x3C75b6D8c222e6Fb6E337215Ac6ea3B9f117abe4'], ['address', '0xBF9A30333F914c0AEA24e1901f5B50c1a24FEeb2'], ['address', '0x3423b8bb1BC7776465ADfbCAF8c8Ffd1Ea0B06e6'], ['address', '0xF5d162ae2e34bE14b474e0d29CD1079fa13c9893'], ['address', '0x3E99B53FE25Dcd872b2586A48144Be51a5e71d4C'], ['address', '0x8f1FBb0eEdABc7464c848c8D30e442C752b1B4CC'], ['address', '0x834C6a2BB7ff4B457498b45AF98409E710Abbadb'], ['address', '0xaab9ACe9eaF702131e2A1091f7d7568216AFF40C'], ['address', '0xD1216B0eebb0e48e6117C75B4B7D527043cAe3A2'], ['address', '0x1D8C978410aEF405dd66E53EF9Fe9DE63845af66'], ['address', '0x79b40b57A32Ddc795c99faaD6b573d8b474292CF'], ['address', '0xf70Fab124994B5993490Cb0265A96Bd7a80af6fb'], ['address', '0xc492D444356724fBaaC2e4f610F3CEF06343987f'], ['address', '0x52A59f7EBD81e4360bAB517BFAc2e2956AE50D4C'], ['address', '0xcd592395aC8782ed5669a5118Ff73D286A5E9192'], ['address', '0xDb68B4C3b95d5806d698D24932Ec6cbb12419940'], ['address', '0xBaC0faDe7926b1b294ee1681aC4463012dd4B3Ea'], ['address', '0xDD833984b836db931277E3547E4195e7f46b946C'], ['address', '0x2565d6eB669bd238b54b72466ea3735274cDBf39'], ['address', '0x78AD6d651693bfb2a66d2728A068cD659907d319'], ['address', '0xAD869e303A92498bB2D53c77A7ff949bdAc047BF'], ['address', '0xa1719Da09b61C6D1FE0b1254B7e5374904E03cc2'], ['address', '0x874fd4DC8dB0DD298617D3c61Cbac18fF21674b8'], ['address', '0xd7A14C0a44e68E2eE19DDDcaBdb68b85BDF28e00'], ['address', '0x638f6d0D6f17a8538dfD82Bea6103C8E6719517f'], ['address', '0xfa8eda5139Ec1EB480e5cc67e99920C70A8361C6'], ['address', '0x803e560c6A6c848d74AD364242aA52107b985db6'], ['address', '0x92987541b36cff470fC54554A380612D50d68735'], ['address', '0xa1e2d0375c130baA02a6F9F79897fc3638c55AdE'], ['address', '0x4744300ba7fE87316F47D562B8E1fe8cEB7e0dA6'], ['address', '0x77875A921342fe8788C2eCe463E74CAD371AAd05'], ['address', '0xdDEa26841324E40393b167937A394c187dD7995b'], ['address', '0xcC023B541994150d678F39D068f390c3bE081f83'], ['address', '0x5938cD6106A0723Da14d55ff68D3F7de5a3F767a'], ['address', '0x670563c34B7889e9A6AA2f4Fdb7d95a2f0ddeeF6'], ['address', '0xDd481FF8f6Fa62DAeaa4adb2a13D4f99bF24d224'], ['address', '0x7a7FF7C18165aaA487Ed9BaA531eb9108b83ABb1'], ['address', '0x9B86511FeABff8664F87cacEB31e30EF7CeD0397'], ['address', '0xA0E0DDC947D1Cf68665CC342603d2dAD7400E293'], ['address', '0x0a2f5Dfb5a31642493028C4312E90F2C057F5069'], ['address', '0x5055C528B57aa9E48776E557B42f8105154D3f7c'], ['address', '0x86106e420FD2ab33748f0AdD547748f4A37ad453'], ['address', '0x5Da7F651c0C5916164D87E2838381f6a27b94c85'], ['address', '0x54727862C2bEbA114E425e1e539D597f96522900'], ['address', '0xeD80B41218F243E6750760A1565F9CadEb6A0628'], ['address', '0xE7a7591F718f18986Dea97af0A0fF68b23C8353F'], ['address', '0xE90B78355521aA070EeF673e17bab49a465f5F5d'], ['address', '0x3A1dC721B83e3C2C71B9a918DD1930536E5a8165'], ['address', '0x27AC2f23e5f51aC03D7B8Ba127BDAaE759006C79'], ['address', '0x2427BF25EA22598949755c95c3D28Fe772B87BDE'], ['address', '0xA8d85ceC1e9e9E6c3904b4d873Cda459A0490243'], ['address', '0x4992acA98B53CC85718217Cb8783F05dDFF361cA'], ['address', '0x75a0e376a0BD3b933322847A44B589e8A5A4EAa7'], ['address', '0xe89F4C2c2aC52ECcBaE5A683D19DBBC99ECc1ABc'], ['address', '0x8DdA2Ac815367Ee79aFb655977F3A9e0134Cded3'], ['address', '0xAA22b4c1C2Cc5A1f69b63B63617d1918CA642638'], ['address', '0x617AFCDed4fF352a99E949De5D6Af2Db7E4658B3'], ['address', '0x419a954FD93e5A9B87cD6e1288C18a67a30d4846'], ['address', '0x179c8174792e42035B034d7fFd68410608BEc62e'], ['address', '0x167FBe4DA457471526e9EEA820cca38D095D8578'], ['address', '0x2cE14359BC481C408A39904fDFF1431b80ebE0BE'], ['address', '0x1E99137dC2F47097416832D15b4C215376df744E'], ['address', '0xbb527a976B904307D62d8230b91Bf54d219E029A'], ['address', '0xaD33f43CB3DdC2DBD5A5EB09B12423066041a219'], ['address', '0xee1F9f9a708A7cEA3F3d9240add64CF234aF061b'], ['address', '0x81f49F5D7B8Bb602106627e549a7E4104B37bFD6'], ['address', '0x11223CDaAca042Ec7f355A023056A6F5C6edC31C'], ['address', '0x4234FC01F2a4BFd7EE280aE28a6BF4586e80a352'], ['address', '0xDd1598c2fc5e1128d925718aEDcC4b806C150896'], ['address', '0x9481344FF266D7d2f526A6Da41789ece0c3635D7'], ['address', '0xC4437D1C0d9e0A9E935cf31a5e36Df9D51Be21EF'], ['address', '0x011C279Fd63e647dde2DbB088e9889ec91349AbE'], ['address', '0x79Ebbf86b1Cf2fb034E284A25d241bF2a64E2f61'], ['address', '0xFe763fD677b546751641439E8f0e89F527407FE9'], ['address', '0x338e25a8Fa1B3f55Cdb3877e9D0fED1F00FA8033'], ['address', '0xd0c1a4A9A84D4Cb0d76b248C48015D5edD615125'], ['address', '0xC010f90136AAa669086BA85e9Ed2379F4C25ABCB'], ['address', '0xD4852119889CFEbfa7Db63dB7dEb01AB20A43f60'], ['address', '0xe25ce19226C3CE65204570dB8D6c6DB1E9Df74AC'], ['address', '0x37DC1a0B7B743AbDC6922d3117cc6732dd8a5c96'], ['uint256', '523000000000'], ['uint256', '0']]"
6,51910,36910 (71.1%),0 Ether ($0.00) ,transfer,"[['address', '0x4DCa30BCC9c9DB4408141cD67B1515E689f546d8'], ['uint256', '523000000000']]"
7,4564213,3042809 (66.67%),0 Ether ($0.00) ,distributeFUDD,"[['address', '0xb43C958aC6B9B86251a78b281694D61f04e16D34'], ['address', '0x5bfF01D3F77a319594487B5A006Bf1C648d63F2f'], ['address', '0x139219E68A1c74320bA140305c674aD46f1ED64E'], ['address', '0x6b8DB9D872F808Cd0bff94B33009c8FDf302D0eC'], ['address', '0xc81AAF7f29e21B2651f8bb874e2032D7BC2A1Ee7'], ['address', '0xdF7BF56D9E4606EDE7834Fe87423b68a9be30299'], ['address', '0x5b47C28729eAD9C05cad7BC107859Ea8FeE556af'], ['address', '0xD4a759014bdf704C9B66B95C17a321Cc5ee55D4B'], ['address', '0xA50d6aBcb2863030265EA367F4D5B8BF28f4f2c5'], ['address', '0x9F96D666489a67ffCf0Cd1f14f9641f4B37E4644'], ['address', '0x67c6757c9f947190B8880430e531de497AE28338'], ['address', '0xFd801BD00746C9E2214Eb5ea23E0eD9717Acc657'], ['address', '0x68476977382d9cb85d11775B79252ee7d2859738'], ['address', '0x2116FF96aeb142a83caac6e949881493a7fE112C'], ['address', '0x84b823cf582c92a78fd01Cc42745E6527f0B6727'], ['address', '0xdA3eCA3Fcbc1b582788108C8c8933eD9132007Ea'], ['address', '0xf6aeAfc43170B95d77f2209F794C36012ad9AaFA'], ['address', '0x0EB6bCAC63B2e4B2AC14a0A5B39A9bcDd2579Dc1'], ['address', '0xEB2aD6f94A5bB9f871f0E4ac82e04a5fc2c9ACa5'], ['address', '0xe74c9B2ad83F61bE947441A5b7f6fE87D6DC5024'], ['address', '0x79291838d35E6925234738d4DeB0A950e80839Fc'], ['address', '0x42ba984c1d49431dAac45Ac96e03371D21E07ab6'], ['address', '0xF8afbB65B6E8605266384ed8B65D60cE68B4aF29'], ['address', '0x4A9268D91d32f9033bA32f59EB843bE7eD01009b'], ['address', '0x0648CC7fDd32bb80590Ab38b7D34F5C35361f697'], ['address', '0x5d0Dd36D2085CFeD183301F473Efbdf802f40b13'], ['address', '0x1d739d7EE5FE4c5CdC815A4023dE117c928519e0'], ['address', '0x36Fef8678944d9FEa67ea28f23Fef98098dE0995'], ['address', '0xB86Cd6E6445d9F13CfA43Cf2623E9BAf86be96a1'], ['address', '0x21A7f462f7C55f1Cd0b7d87C7d6c8a018917de65'], ['address', '0x30953cF253A9f56B08aB34B615E6fE954E72EaeE'], ['address', '0x6Bf7b41f3bCF728d05507f4f627878f9d5Dc8628'], ['address', '0x1a716A9D0Bf73B78920D7190E7B061dd936e2D4f'], ['address', '0xA8759794F4228712d36297F9ca59368d587657D5'], ['address', '0x6419a84789D89fB53c38570ae09DDd6a02c0aa0f'], ['address', '0xC6ebFe3b78c12c98C470De6bF72b797e0312f821'], ['address', '0x38223B8EBc6D6F404F887DF06C334c4702a55711'], ['address', '0xA2a054FCa6F00dd35d05E6e708A4a42d60b8ab18'], ['address', '0x135c91795a4859B2e0DfAbf8ae0890cCA1F0042E'], ['address', '0x3ff85784D06A124798A09eb6f27FEf4b3C879Dfd'], ['address', '0x80678d49f8ef7aFd19F168A7931aeEC365387A04'], ['address', '0x6958a8742B07C004352520Be855c7525AD3980Fd'], ['address', '0x9481898b9BB13D523BA8296D90dECe7a955f92d1'], ['address', '0x2f7Fc648AF6f10B34DC88374951395DF39c085bc'], ['address', '0x3EAB84F29252D0A4efda33b34419bbdc24aB4ca4'], ['address', '0xc06Efa707f4B26C3f5Fe7f888FB0c28ec18B4c64'], ['address', '0xc550D690F7632787B431E3B241A611439a4Fc80b'], ['address', '0x5F543Ecf04120bE2B156773a09C3b5Bb2F9D711A'], ['address', '0xB38B30906C0953e6e00A126370927d35cF8EDdA4'], ['address', '0x8B35dB12324cB00F63e4803CEcB17D026aaa8Eb9'], ['address', '0xaCb7956C0671DcF1C56Ee8D7Ad6A6aF61aC4159A'], ['address', '0x0e57442842Fa68a1a84597E00aA0219CEC81dc9b'], ['address', '0x3B5223F2f55DDB5C128BD14F769dfEd0c300D170'], ['address', '0x082B53c60797aF3ECdcB072A57b7bCBc1729bCeb'], ['address', '0x8F0f47c3C72471C938A3C3FECB4184147E2b6036'], ['address', '0xD318140dD3b952200F5c56D58C3B7543E49F7848'], ['address', '0x27E0EC0d8Ba7F1b47C5c377e481487aa5571d9f5'], ['address', '0xA4245b30a63cBc4D7Fc4cB8e2FeCe4C7506384FB'], ['address', '0xB5126a99368460450d3422740f4666c5a3eA7EC2'], ['address', '0x53cE53C7A6e930bb75eE935902c834d43bA507A1'], ['address', '0x22b6Ef696E650675c6677e99CF2b9c3772B7872E'], ['address', '0xEE508446bE43EAc03Cb9095783496d94BD7EBd5F'], ['address', '0x68B4683475747E28a83596e94b58187d452099Cf'], ['address', '0xe39cf8b7b1487806FA8c68A3fbC1c533b1815276'], ['address', '0xce94b945c51942103f0Dab7F07CfDC928012d8E5'], ['address', '0xbF0B248a684f96651B88dc6E4ECFe9BBeDdaCB1F'], ['address', '0x64EeE4479bAd0fA23310994Bc73be4517a0fC425'], ['address', '0xf256088C11799bF08E435A8BBB0457F4b3Fc0321'], ['address', '0x3b51Fa66D26a3dc612aA23fA57685541874f74a5'], ['address', '0x21C240C4908bd29F09F98438f3f0bDcd562a4E93'], ['address', '0xfF9ADFb4C19bFD54099A73Cec4baE6dBC79883a7'], ['address', '0xa7b23695F7d24990eEaE3D056fd414758c3B5D0F'], ['address', '0x590Fa45656b8cA8d9B371c4F848Ee2Cb34031B3B'], ['address', '0xF3BD3Aa12b50F335fD190d96Dc8A386A900f155e'], ['address', '0x08EA161Cc349FCfF68B3e7B4ae17cE16f66337E8'], ['address', '0x11C4A57E3628c051946CD7bB3aB955B5A1f58FF9'], ['address', '0x3D27a1dCEd86a2E624393163326adcFAF992852B'], ['address', '0x752F3E3E7BAe4acd1330d7D322689979138f6506'], ['address', '0x3bFe78dd2089d90c7b2a782935fffF64fC5F9E99'], ['address', '0xC6F6C16C82677079c9594De463a582640f11fAB6'], ['address', '0x44cB493471579FE1Ba572bD69882F1C80827f0bC'], ['address', '0xC8c57A2F2bd6Fe70B50D505a8b2A10B9ca1f8D48'], ['address', '0xd2E81308beFaeAA924Bf5DEa412f03C4e70286cC'], ['address', '0x1E8FFEe1403B040b0D330bb974AB03616b8F199c'], ['address', '0x03ae99Ec60ea72978eBbffACf97E09CaF597fce0'], ['address', '0xC1e037ce9D2FFe12fDe9871B3412e395bAb3965f'], ['address', '0x85C2C8D7ca2ee86EB6fD26Dd18e9f7f2E24e63cB'], ['address', '0xf8C854B77ebC0216786215Bd1FB4cEca5800DC9A'], ['address', '0x661d4BBFd05759c6b3089643011F2D02f882456f'], ['address', '0xCa97843390110061B6922A04B7dd4371974942Fb'], ['address', '0xD876aA8BF1DA491747c5cF510bE3f0B99d73388a'], ['address', '0x008cd39b569505e006EC93689aDd83999E96aB12'], ['address', '0xf2A8c6EC5B1B7eC1361deE7dBDA95C7b2Ff95acb'], ['address', '0x918722A677d5FE9ccC6389A674989C95b9000061'], ['address', '0xe5C80B90ef63fA37fF0aA9Df27789E37685edcf9'], ['address', '0x067be47f0D4B8380ff41321e0911A66b2b1f893e'], ['address', '0x3D5B4B5c465fbd5FAd94951ffda322536E20c1A3'], ['address', '0xF757F42Ac03F16B9D0E4eC16bA096E1A02bD746b'], ['address', '0x2F44F41D28eB82547E07abB16096AcA2c3C40F84'], ['address', '0xafc092e6FDD10f28D93aBD00d1E427EfFdaaD39c'], ['uint256', '523000000000'], ['uint256', '0']]"
8,36910,21910 (59.36%),0 Ether ($0.00) ,transfer,"[['address', '0x4DCa30BCC9c9DB4408141cD67B1515E689f546d8'], ['uint256', '523000000000']]"
9,4564309,3042873 (66.67%),0 Ether ($0.00) ,distributeFUDD,"[['address', '0x30301f2F9A823deA29FF882903a28769DFbc07C8'], ['address', '0x565D5B7CB0a551777228d8b16B36F81A708191a6'], ['address', '0x78c9C4FDeB0EB814747d18be65116a9348afEd54'], ['address', '0xA87A6017687F5d7607a4DDE37624FA8EEc9B0D45'], ['address', '0xdB08617fA6BDD46342f82ddF8D3D41b2f60bf681'], ['address', '0xf41f54022dfDf970Ed66dA97a295cC28aA8b74eF'], ['address', '0x3966A2682Be0b3653d61AE99078f44c78F525AEb'], ['address', '0x79138d87A9265d2123178a4Db9D2f698f93d308B'], ['address', '0xBE0520c057b940e92ec96FC3Cb5c2cbffcecbafD'], ['address', '0xc03F8225DC677a8A118D48e97f0601C4fcdf74e1'], ['address', '0x697b6750BADC92372f0Fb59DA287dBf98c2e6082'], ['address', '0xdB9A9D39B17F1223BF590a3F9D1FC7f2058eB111'], ['address', '0xb392a23Fc325d36a590Ec4962Cd5f12e2B382D61'], ['address', '0x635B4fF1E3172C8548c3354B85Fa893DfE0F2586'], ['address', '0x30Ba5D3d3Df3F6F661B82A19c9551E993713dbee'], ['address', '0x01434E9c6bf39ABf61fC04a5d5546A8c5169f475'], ['address', '0x9048bd73a33263bD24B7f84389690a2Af7d28fd0'], ['address', '0xEFA2415a3D67439a04a0745dcdb4d5AC80FE0272'], ['address', '0x73408EbdfCF1a260b802B42cb3875bDb026E7382'], ['address', '0x0a7C759c68dF05d622d8969a564B002787D9A778'], ['address', '0x48b7eC299387F17FB9Fd1Aea979F33306baE576E'], ['address', '0xBDa83a3a533AFED3456e92b4f09891AC6A3F9d5e'], ['address', '0x5530849e10b25e7c81E91070B650A6c357207B0E'], ['address', '0x823f8b05C17D430671CFcd3F6C5a411Ed2032b7F'], ['address', '0xc8630e5a3384654A616b62E0341c2ed8C80aB2C9'], ['address', '0xDe7B89667dc3311c45179AA6223D9592053dc4c8'], ['address', '0x9F4B40Bd7d730B7534DB411Dc06BcaE9c488A93D'], ['address', '0xF48fB69a6E554EC8e1636d4e55b0D5143a6714fd'], ['address', '0xC7E98A1f2F749B9737878748DDf971EA3234077d'], ['address', '0xb46260E1DDe7fF5CDFCB04527CD6998e89DfE64c'], ['address', '0x568F66C70d55654e5c797F29F5D930F6d0B7B800'], ['address', '0xe5830FC331aa8EB94b6A6DAbA5AE0aD028e5e222'], ['address', '0xcBAae569D9Ecbd35fF827E314dC79973f0b35b4D'], ['address', '0xAb84e55942FD1bb60409F1D2623387deCAaC8Fcf'], ['address', '0x7B1e84ccC1AB36C11A5Fa5b2Abd7F684443DDEc4'], ['address', '0x83cC1f5eD5f385817DfA73E8051d20501c940B7c'], ['address', '0xe47BBeAc8F268d7126082D5574B6f027f95AF5FB'], ['address', '0xA45bC75324D65b14fc6163f53C9c9A342B7d1900'], ['address', '0xd66f0f94F02d898E053c8cf14a658A46A8CE044a'], ['address', '0x62e4875De2a2E475eaCeAF4128A21bA622038190'], ['address', '0x507c8fEa802A0772Eb5E001a8fbA38F36Fb9b66B'], ['address', '0xE5712d1dFf0f400F3e9f13C15D74326396fc635B'], ['address', '0x1F4eACCed02484262960835F001158Ea83D1E2ea'], ['address', '0xe4538F968E6C83c797cdc5351C3f9591C48B76aE'], ['address', '0x5b345628C40A42Bb7bAEEC062508cC43144F2377'], ['address', '0x0A19df10B966C1671A973D2Bb43Ef28d4Cb02a74'], ['address', '0x184d65793873f8B083245b37EBD33CA15f6F6ffD'], ['address', '0x67C0fc4B0490ab7E76C08C2bbD30fAc0059bbc7A'], ['address', '0x67238b534dE0724f027A1FBf0196a97EBBee918D'], ['address', '0xE5022d4C281615523936A16fd7303F5e165d85cC'], ['address', '0x0134B430b6a2235D7d7C5B3185cAC2b0d7C81f5B'], ['address', '0x6aeE03f3015bdf93b0067E34A47974baF52EbDE8'], ['address', '0xFa966fE7C672054BD1A629Ff0b4A5971De2EdCf9'], ['address', '0x062E5677cE092A2E883f5C7C9EFC1F8051C353f5'], ['address', '0x5043Bf2276abcC19da847FDdce7c6645cc41A997'], ['address', '0x8C95eB780EC31DEEBb5461F9f2d1789087Fc3b8a'], ['address', '0x79B4c43E80af7a49D654f9f24966635bDb93D16A'], ['address', '0x2ad4BC79Db826AAa96a0A0C32E81c3d6a2AC148E'], ['address', '0x08EEF4B6eC3b21eE1281E7dd3B2009492A9905bC'], ['address', '0x95E27Da67ce117a2B95d1Dd628E7c26864904FBF'], ['address', '0x43a1824Ef55FEBbecC8E6bB58E79b7c0a7E7B4aA'], ['address', '0xBE29D8f41896e6D16B0ab0f82F17bfF7A7661411'], ['address', '0x830aEF0e55EC1E81c663396e0b4F4320Cf95f977'], ['address', '0x56E93558a97A7921daAfa3c01888BA9eAE7FA364'], ['address', '0xAb901F71988c64541932bba8D243Bc23c3849561'], ['address', '0x9D596E162782cABDFaD30baA8DeEBE85d0e08a3B'], ['address', '0x298FBa3A8ad01AFe85d65E38036f696483a018cB'], ['address', '0x64455C48e6Cc5b6a317FFB9deb46008122d30c42'], ['address', '0x1fd7805b86e8A182afbd32826846bCE4cA28487A'], ['address', '0x233E99e5d9fd8c5e5cA3263a43D20F94DeED5109'], ['address', '0xBF3FF66b9f477E3c6f3B8b2c6053e398A243e6c1'], ['address', '0xA96b337D9b6493a6cEDd49d13Ff16aD016a56963'], ['address', '0x7522B31CD0cbA4E8F64dbEBeF846456F0aaff9F3'], ['address', '0x53036A80c3b8F6300bEB6aE3be5F36B207Eb2abC'], ['address', '0x495F05B7cf9296025F64411d8057A8fe8d8E132e'], ['address', '0x09955eF7c6De9604c34f5694FaB007890cb23B6B'], ['address', '0x47F216fbf2aB34b60dF39da5Ef7e73d76421EC95'], ['address', '0x0007343939E98E1A86F50D8F97DC3B5eb431255e'], ['address', '0x27a5F79793A9e660c6151d281D1D6ad46637e0F9'], ['address', '0x8352C16f74BFFe7a86A3934B4987A401E9aBcf0c'], ['address', '0x99D789f3dA0E142298f631c32C153493A1afe8d9'], ['address', '0xf9dF3a2Dc28ce72b19a1e79cB35f6E2AD1502992'], ['address', '0xEbcd9383b87f41058EC570E7ca62F618e8831dB5'], ['address', '0x58C61a555E147214231D6910AD5F04ccE84b2095'], ['address', '0xf008944A4eCe209490294c49d8FB7413B33238C5'], ['address', '0xcAb1D83E6b9bd2773b1929780e3c052465e173a1'], ['address', '0x1c65Db87eEc37908746DFb2D78121a897D4d0b9f'], ['address', '0xA4Da9AEB4BD68716261A026D8a9f25a81395768b'], ['address', '0x9c87d761dCe93FC8dE514A729b660d9da9f7A5A8'], ['address', '0x03256F33667395195e2bf10a0Bd0401C4D560A1a'], ['address', '0x0C1B090484e81F14D5751D850Cb7955eC2c07dF1'], ['address', '0xFf3d6142Dd516e61e23578b39182bE7F894Ac2Ec'], ['address', '0x83Cf25f830dA5955Fa416a577A8ffa45827B11bB'], ['address', '0x20EE98b307e9A3DD11451dC17df21B2466Daa605'], ['address', '0x20BBb413b1291A87955b5dAcc0C812a3681178b6'], ['address', '0x2C8991a04C2268Ee268d82f45111412258F30087'], ['address', '0xb6bCFfb4458F186206Dc998eCC6BB7909E33B739'], ['address', '0x7b8da714D756f1dbaB5Cd0E10E2a3602bEEcEc5F'], ['address', '0x85C83b3Cf2BF47558DaddD6a34F35e11d8Cf5b41'], ['address', '0x31Feab5c6E76f159bBE2F93FDE4A59200813679c'], ['uint256', '523000000000'], ['uint256', '0']]"
