,GasLimit,GasUsage,Value,Method,Args
0,1198631,702266 (58.59%),0 Ether ($0.00) ,0x60a06040,[]
1,64652,64651 (100%),0 Ether ($0.00) ,mint,"[['address', '0x5BEbE260779764fbD6cEA88dFE1Bf4932f7C33B8'], ['uint256', '17691812200000000000000']]"
2,49588,49587 (100%),0 Ether ($0.00) ,mint,"[['address', '0x123456793b94455B0371f1e21b62c766F3a659d8'], ['uint256', '3615004700000000000000']]"
3,49588,49587 (100%),0 Ether ($0.00) ,mint,"[['address', '0x03ECf4137A590f8245DbB3430b5e71D8F593501E'], ['uint256', '1851851000000000000000']]"
4,49460,49459 (100%),0 Ether ($0.00) ,mint,"[['address', '0xd4C66De64ED30083e5Cb71D5de5c4c49f286aaF1'], ['uint256', '1276754800000000000000']]"
5,49588,49587 (100%),0 Ether ($0.00) ,mint,"[['address', '0x5DbC538AD7a6B4997EDdce0AFFF1f0F4cA77c60f'], ['uint256', '449761000000000000000']]"
6,49588,49587 (100%),0 Ether ($0.00) ,mint,"[['address', '0xD2b7365959627AB35eFE275E853c7e86955163F1'], ['uint256', '313745000000000000000']]"
7,49460,49459 (100%),0 Ether ($0.00) ,mint,"[['address', '0xbef0aE6BFf00900Ac30a6e2716e513FdDfFd16C8'], ['uint256', '291372000000000000000']]"
8,49524,49523 (100%),0 Ether ($0.00) ,mint,"[['address', '0x22B84d5FFeA8b801C0422AFe752377A64Aa738c2'], ['uint256', '287000400000000000000']]"
9,49524,49523 (100%),0 Ether ($0.00) ,mint,"[['address', '0x6e25FD07a8D2c3026CB227E7c079c7946ecB73bF'], ['uint256', '267354000000000000000']]"
10,49588,49587 (100%),0 Ether ($0.00) ,mint,"[['address', '0xAb94b4719a2b88aeb9F186BB1367442f146f1637'], ['uint256', '438272200000000000000']]"
11,49524,49523 (100%),0 Ether ($0.00) ,mint,"[['address', '0x831Ff32eF7552E7eAcBAa349a1dc369aA7Dcb337'], ['uint256', '261326000000000000000']]"
12,49588,49587 (100%),0 Ether ($0.00) ,mint,"[['address', '0x48e6FcfaCCfA764b15a527c3cc71AA85B074025d'], ['uint256', '256015500000000000000']]"
13,49588,49587 (100%),0 Ether ($0.00) ,mint,"[['address', '0x88B69fF9B01d783165632524887db9FDACb9eCe2'], ['uint256', '254587000000000000000']]"
14,49588,49587 (100%),0 Ether ($0.00) ,mint,"[['address', '0x36732AdFcF4b2aF34FC6ad1eF5B6DC088688BE7C'], ['uint256', '249037000000000000000']]"
15,49588,49587 (100%),0 Ether ($0.00) ,mint,"[['address', '0xEE8899fDDc58cB5913859Bd0ABD74A2730D1c9Fa'], ['uint256', '234265000000000000000']]"
16,49588,49587 (100%),0 Ether ($0.00) ,mint,"[['address', '0x4b2167C213520E1CDdB3710265e9ccD4c8177EC9'], ['uint256', '206461000000000000000']]"
17,49588,49587 (100%),0 Ether ($0.00) ,mint,"[['address', '0xd3961360571278D9FD0eCe8a871d03Fe9d1d591e'], ['uint256', '205199000000000000000']]"
