,GasLimit,GasUsage,Value,Method,Args
0,1944395,1944395 (100%),0 Ether ($0.00) ,constructor,[]
1,52956,52956 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x3D050add851A7e2F6Ee7B77a9226caB66C366BA4'], ['uint256', '1000000000000000000']]"
2,60000,23212 (38.69%),0 Ether ($0.00) ,transfer,"[['address', '0x3D050add851A7e2F6Ee7B77a9226caB66C366BA4'], ['uint256', '1999999999000000000000000000']]"
3,60000,53020 (88.37%),0 Ether ($0.00) ,transfer,"[['address', '0x90395f5bC60Aeac0BEA17d08acfcD8a27A25996C'], ['uint256', '100000000000000000000']]"
4,60000,38148 (63.58%),0 Ether ($0.00) ,transfer,"[['address', '0x90395f5bC60Aeac0BEA17d08acfcD8a27A25996C'], ['uint256', '1900000000000000000000000000']]"
5,60000,53020 (88.37%),0 Ether ($0.00) ,transfer,"[['address', '0xe4760c2Ee6fa84188D84B43975df4A4738528085'], ['uint256', '20000000000000000000']]"
6,60000,53020 (88.37%),0 Ether ($0.00) ,transfer,"[['address', '0x4866075FED567b0D0e043F1a1C84A5B280e48Ab5'], ['uint256', '280000000000000000000']]"
7,60000,53020 (88.37%),0 Ether ($0.00) ,transfer,"[['address', '0xbEc08AcAf7b3b5C91444aC81F7F99A171Ea0E311'], ['uint256', '20000000000000000000']]"
8,60000,52956 (88.26%),0 Ether ($0.00) ,transfer,"[['address', '0x037E5fa86f9b29D8089aeE0E4791232930c241F2'], ['uint256', '10000000000000000000']]"
9,60000,52956 (88.26%),0 Ether ($0.00) ,transfer,"[['address', '0x23d8639612617fCA95C79daF73e699075628eC71'], ['uint256', '10000000000000000000']]"
10,60000,52956 (88.26%),0 Ether ($0.00) ,transfer,"[['address', '0x11D13221D7d3234Af8BeCb0BD893f6055C06B096'], ['uint256', '5000000000000000000']]"
11,60000,52956 (88.26%),0 Ether ($0.00) ,transfer,"[['address', '0xA6EB72F4b137Abe3cF59Da2DE6Eac52b8fe7F42c'], ['uint256', '15000000000000000000']]"
12,60000,52956 (88.26%),0 Ether ($0.00) ,transfer,"[['address', '0x53eEF75062e02e5ce8fa56D05B0C302C0718D2a4'], ['uint256', '15000000000000000000']]"
13,60000,52956 (88.26%),0 Ether ($0.00) ,transfer,"[['address', '0x80b4f8F3BF66cCb324c01D4c217eA57e0760Cb12'], ['uint256', '5000000000000000000']]"
14,60000,53020 (88.37%),0 Ether ($0.00) ,transfer,"[['address', '0x5498A7D9B1Fb124101de05Dd105A31064e576996'], ['uint256', '25000000000000000000']]"
15,60000,52892 (88.15%),0 Ether ($0.00) ,transfer,"[['address', '0x8de1278fC847bbd2380e45000ffFDD7D7a7225cB'], ['uint256', '10000000000000000000']]"
16,60000,53020 (88.37%),0 Ether ($0.00) ,transfer,"[['address', '0xB6A6202306B69173dBBE0Ac2508138196460B255'], ['uint256', '30000000000000000000']]"
17,60000,52956 (88.26%),0 Ether ($0.00) ,transfer,"[['address', '0xB7e2C4a0b88E46A5B05007D6ee0d9009119645bA'], ['uint256', '10000000000000000000']]"
18,60000,52956 (88.26%),0 Ether ($0.00) ,transfer,"[['address', '0x2d2b7BAC5bB8523B91FcD019e43C85733004F7eF'], ['uint256', '10000000000000000000']]"
19,60000,53020 (88.37%),0 Ether ($0.00) ,transfer,"[['address', '0xE94eeeAa8da5899FdF17dAa5bd1b8c2163a7B355'], ['uint256', '20000000000000000000']]"
