,GasLimit,GasUsage,Value,Method,Args
0,2162754,2162753 (100%),0 Ether ($0.00) ,constructor,[]
1,43378,28918 (66.67%),0 Ether ($0.00) ,transferOwnership,"[['address', '0xA10f6f8A723038ca267FD8D5354d1563238dc1De']]"
2,137146,37721 (27.5%),0 Ether ($0.00) ,transfer,"[['address', '0xA10f6f8A723038ca267FD8D5354d1563238dc1De'], ['uint256', '950000000000000000000000000']]"
3,153001,52721 (34.46%),0 Ether ($0.00) ,transfer,"[['address', '0xCbEEa2E0c48f5BEd015fe53bdc8fb643Cfef7969'], ['uint256', '940000000000000000000000000']]"
4,21000,21000 (100%),0.01 Ether  ($17.68)  -  [CANCELLED]  ,Transfer,[]
5,21000,21000 (100%),0.001 Ether  ($1.77)  -  [CANCELLED]  ,Transfer,[]
6,21000,21000 (100%),0.002 Ether  ($3.54)  -  [CANCELLED]  ,Transfer,[]
7,210000,21061 (10.03%),0.002 Ether  ($3.54)  -  [CANCELLED],Transfer,[]
8,210000,21061 (10.03%),0.00004 Ether  ($0.07)  -  [CANCELLED],Transfer,[]
9,210000,21061 (10.03%),0.0004 Ether  ($0.71)  -  [CANCELLED],Transfer,[]
10,152721,52721 (34.52%),0 Ether ($0.00) ,transfer,"[['address', '0xD0645ACdF897a52e7bAe4044879E7A9126aB299A'], ['uint256', '900000000000000000000000000']]"
