,GasLimit,GasUsage,Value,Method,Args
0,2000000,1670542 (83.53%),0 Ether ($0.00) ,constructor,[]
1,1000000,134945 (13.49%),0.001 Ether  ($1.80) ,Transfer,[]
2,134945,134945 (100%),0.169155672427166181 Ether  ($303.96) ,Transfer,[]
3,150000,134945 (89.96%),"3.5 Ether  ($6,289.33) ",Transfer,[]
4,53799,53799 (100%),0.09 Ether  ($161.73) ,Transfer,[]
5,300000,134945 (44.98%),"50 Ether  ($89,847.50) ",Transfer,[]
6,134945,134945 (100%),"1 Ether  ($1,796.95) ",Transfer,[]
7,210000,134945 (64.26%),0.004 Ether  ($7.19) ,Transfer,[]
8,134945,134945 (100%),"4.29 Ether  ($7,706.38) ",Transfer,[]
9,134945,134945 (100%),0.4 Ether  ($718.54) ,Transfer,[]
10,134945,134945 (100%),0.25 Ether  ($449.09) ,Transfer,[]
11,134945,134945 (100%),"3 Ether  ($5,389.08) ",Transfer,[]
12,100000,100000 (100%),0.4 Ether  ($718.54)  -  [CANCELLED]  ,Transfer,[]
13,202419,134945 (66.67%),0.4 Ether  ($718.54) ,Transfer,[]
14,53799,53799 (100%),"2 Ether  ($3,592.72) ",Transfer,[]
15,200000,134945 (67.47%),"1 Ether  ($1,796.36) ",Transfer,[]
16,2000000,37150 (1.86%),0 Ether ($0.00) ,withdraw,"[['uint256', '15000000000000000000'], ['', ' 0x5904957d25d0c6213491882a64765967f88bccc7']]"
17,53723,53723 (100%),0 Ether ($0.00) ,0x6709b337,[]
18,2000000,37150 (1.86%),0 Ether ($0.00) ,withdraw,"[['uint256', '18000000000000000000'], ['', ' 0x5904957d25d0c6213491882a64765967f88bccc7']]"
19,210000,136667 (65.08%),0.5 Ether  ($898.23) ,Transfer,[]
20,205000,136667 (66.67%),0.49 Ether  ($880.27) ,Transfer,[]
21,200000,136667 (68.33%),0.485 Ether  ($871.28) ,Transfer,[]
22,150000,43640 (29.09%),"5 Ether  ($8,982.30)  -  [CANCELLED]",Transfer,[]
23,150000,43640 (29.09%),"10 Ether  ($17,964.60)  -  [CANCELLED]",Transfer,[]
24,300000,43640 (14.55%),"5 Ether  ($8,982.30)  -  [CANCELLED]",Transfer,[]
25,1000000,43640 (4.36%),"5 Ether  ($8,982.30)  -  [CANCELLED]",Transfer,[]
26,250000,43640 (17.46%),0.5 Ether  ($898.61)  -  [CANCELLED],Transfer,[]
27,2000000, 32462 (1.62%),0 Ether ($0.00) ,endPresale,"[['', ' 0x5904957d25d0c6213491882a64765967f88bccc7']]"
28,23000,23000 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x0f65223f8963e4b820Fd3206eEC17A0B697f9Ff3'], ['uint256', '3635940']]"
29,53000,39328 (74.2%),0 Ether ($0.00) ,transfer,"[['address', '0x0f65223f8963e4b820Fd3206eEC17A0B697f9Ff3'], ['uint256', '3635940']]"
30,6365629,39392 (0.62%),0 Ether ($0.00) ,transfer,"[['address', '0x57EA75944740f4582e282b854f72052E84532786'], ['uint256', '36359419']]"
31,200000,39392 (19.7%),0 Ether ($0.00) ,transfer,"[['address', '0x57EA75944740f4582e282b854f72052E84532786'], ['uint256', '36359419']]"
32,200000,39392 (19.7%),0 Ether ($0.00) ,transfer,"[['address', '0x57EA75944740f4582e282b854f72052E84532786'], ['uint256', '36359419']]"
33,210000,39264 (18.7%),0 Ether ($0.00) ,transfer,"[['address', '0xF0b6F6A12e4F6f669637b06F4305F3B1F26A0Da8'], ['uint256', '55000']]"
