,GasLimit,GasUsage,Value,Method,Args
0,2396603,1997169 (83.33%),0 Ether ($0.00) ,constructor,[]
1,55400,46167 (83.33%),0 Ether ($0.00) ,freezeTransfersUntil,"[['uint256', '4104831'], ['string', 'initial locking']]"
2,200000,200000 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x3a27e66bdB1AD1709C8be487B5e9D7bC1f98da92'], ['uint256', '100000000000000000000']]"
3,25000,25000 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x278D9B2298B99950eF209E0EFD7b0d4b15cDBFBB'], ['uint256', '11600000000000000000000']]"
4,23256,23256 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x315a912f37f5De2C823c2C09D3406850F3ca7582'], ['uint256', '500000000000000000000']]"
5,30000,30000 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x315a912f37f5De2C823c2C09D3406850F3ca7582'], ['uint256', '500000000000000000000']]"
6,250000,250000 (100%),0 Ether ($0.00) ,approve,"[['address', '0x8d12A197cB00D4747a1fe03395095ce2A5CC6819'], ['uint256', '500000000000000000000']]"
7,250000,250000 (100%),0 Ether ($0.00) ,approve,"[['address', '0x8d12A197cB00D4747a1fe03395095ce2A5CC6819'], ['uint256', '500000000000000000000']]"
8,30000,30000 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x7875af06F4F4e1Bd47cF374B6F8f21a23b75b414'], ['uint256', '11500000000000000000000']]"
9,23320,23320 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x1098B6F388C98269274Ad7fCb64a9698157E6491'], ['uint256', '58000000000000000000000']]"
10,30000,30000 (100%),0 Ether ($0.00) ,transfer,"[['address', '0x1098B6F388C98269274Ad7fCb64a9698157E6491'], ['uint256', '58000000000000000000000']]"
11,100000,100000 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xd381c0210F7BDBC275E5d724e63b613481954508'], ['uint256', '115000000000000000000000']]"
12,200000,200000 (100%),0 Ether ($0.00) ,transfer,"[['address', '0xbb9287856C1bAEF8A9B58E728743539f22Bb6a27'], ['uint256', '7317382126400000000000']]"
