,GasLimit,GasUsage,Value,Method,Args
0,3000000,1927460 (64.25%),0 Ether ($0.00) ,constructor,[]
1,90000,37660 (41.84%),0 Ether ($0.00) ,transfer,"[['address', '0xe649E289bc2A29E3C7bEEBD187BA3ee2B0cDC759'], ['uint256', '1000']]"
2,90000,56768 (63.08%),0.01 Ether  ($17.97) ,buy,[]
3,90000,41768 (46.41%),0.02 Ether  ($35.95) ,buy,[]
4,90000,22113 (24.57%),0 Ether ($0.00) ,sell,"[['uint256', '2']]"
5,90000,50306 (55.9%),0 Ether ($0.00) ,sell,"[['uint256', '1'], ['', '0xcb9cd0380a06e6e0d0002ceecb5631f80b2b100d']]"
6,85152,56768 (66.67%),0.02 Ether  ($35.95) ,buy,[]
7,75459,35306 (46.79%),0 Ether ($0.00) ,sell,"[['uint256', '1'], ['', '0xed1fc3f0af8f2667779601f76264df88aba57d99']]"
8,85152,56768 (66.67%),0.02 Ether  ($35.95) ,buy,[]
9,62652,41768 (66.67%),0.03 Ether  ($53.92) ,buy,[]
10,75459,50306 (66.67%),0 Ether ($0.00) ,sell,"[['uint256', '1'], ['', '0xed1fc3f0af8f2667779601f76264df88aba57d99']]"
11, 62652,41768 (66.67%),0.03 Ether  ($53.92) ,buy,[]
12,75459,50306 (66.67%),0 Ether ($0.00) ,sell,"[['uint256', '1'], ['', '0xed1fc3f0af8f2667779601f76264df88aba57d99']]"
13,62652,41768 (66.67%),0.03 Ether  ($53.92) ,buy,[]
14,138551,38551 (27.82%),0 Ether ($0.00) ,setPrices,"[['uint256', '40000000000000000'], ['uint256', '10000000000000000'], ['uint256', '10000000000000001']]"
15,75459,50306 (66.67%),0 Ether ($0.00) ,sell,"[['uint256', '1'], ['', '0xed1fc3f0af8f2667779601f76264df88aba57d99']]"
16,62652,41768 (66.67%),0.03 Ether  ($53.93) ,buy,[]
17,100000,21040 (21.04%),0 Ether ($0.00) ,Transfer,[]
18,27022,13511 (50%),0 Ether ($0.00) ,kill,"[['', '0xcb9cd0380a06e6e0d0002ceecb5631f80b2b100d']]"
