,GasLimit,GasUsage,Value,Method,Args
0,746503,746503 (100%),0 Ether ($0.00) ,constructor,[]
1,33050,33050 (100%),0 Ether ($0.00) ,ChangeUSDto1ETH,"[['uint256', '1500']]"
2,90000,21521 (23.91%),0.22248485 Ether  ($399.66)  -  [CANCELLED],Transfer,[]
3,90000,21521 (23.91%),0.118 Ether  ($211.97)  -  [CANCELLED],Transfer,[]
4,90000,21521 (23.91%),0.114 Ether  ($204.79)  -  [CANCELLED],Transfer,[]
5,90000,21521 (23.91%),0.11 Ether  ($197.60)  -  [CANCELLED],Transfer,[]
6,90000,21521 (23.91%),0.11 Ether  ($197.60)  -  [CANCELLED],Transfer,[]
7,200000,22432 (11.22%),"1 Ether  ($1,796.36)  -  [CANCELLED]",Transfer,[]
8,200000,22432 (11.22%),"1 Ether  ($1,796.36)  -  [CANCELLED]",Transfer,[]
9,27246,27246 (100%),0 Ether ($0.00) ,ChangePrice,[]
10,134655,89770 (66.67%),0.01 Ether  ($17.96) ,Transfer,"[['', ' 0xa264c68466ade2ab87cb98e9899c80f7bb18a3f7'], ['', '0xacf15669e91c7d5b110ca93ccf2e8235a082a796']]"
11,200000,79770 (39.89%),0.3 Ether  ($538.94) ,Transfer,"[['', ' 0xa264c68466ade2ab87cb98e9899c80f7bb18a3f7'], ['', '0xa9d37ab6456195e99030a6b4913f2c3d8cebb12c']]"
12,119655,79770 (66.67%),"1 Ether  ($1,796.46) ",Transfer,"[['', ' 0xa264c68466ade2ab87cb98e9899c80f7bb18a3f7'], ['', '0x660e0e33ea4617efe99136f0fd38905a394a4def']]"
13,97155,64770 (66.67%),"20.2 Ether  ($36,288.49) ",Transfer,"[['', ' 0xa264c68466ade2ab87cb98e9899c80f7bb18a3f7'], ['', '0x660e0e33ea4617efe99136f0fd38905a394a4def']]"
14,90000,79770 (88.63%),0.22 Ether  ($395.22) ,Transfer,"[['', ' 0xa264c68466ade2ab87cb98e9899c80f7bb18a3f7'], ['', '0xd3e38cd0a6211e2d8dae9ea40e6e6e302581b355']]"
15,300000,79770 (26.59%),0.1 Ether  ($179.65) ,Transfer,"[['', ' 0xa264c68466ade2ab87cb98e9899c80f7bb18a3f7'], ['', '0xf855f11202b042c8bce5bcc2887f346df537ed39']]"
16,79770,79770 (100%),0.18 Ether  ($323.36) ,Transfer,"[['', ' 0xa264c68466ade2ab87cb98e9899c80f7bb18a3f7'], ['', '0xd0bf01b28ba1a0ebd08e9bcc8d5c986cd11557cb']]"
17,119655,79770 (66.67%),0.5 Ether  ($898.23) ,Transfer,"[['', ' 0xa264c68466ade2ab87cb98e9899c80f7bb18a3f7'], ['', '0x67a56ca663416cc1b7da94fa4f20e8efe6344c7c']]"
18,90000,79770 (88.63%),0.1153 Ether  ($207.13) ,Transfer,"[['', ' 0xa264c68466ade2ab87cb98e9899c80f7bb18a3f7'], ['', '0x83015ff56e07655bacbb752f67c128350d85348c']]"
19,90000,79770 (88.63%),0.24 Ether  ($431.15) ,Transfer,"[['', ' 0xa264c68466ade2ab87cb98e9899c80f7bb18a3f7'], ['', '0xdf5ddc126979bb8c094a50dec56d028cd8f89238']]"
20,97155,64770 (66.67%),0.084 Ether  ($150.97) ,Transfer,"[['', ' 0xa264c68466ade2ab87cb98e9899c80f7bb18a3f7'], ['', '0xc9ecc487225d7df2498b4c0498d453cc75e2146f']]"
