,GasLimit,GasUsage,Value,Method,Args
0,475633,375633 (78.98%),0 Ether ($0.00) ,constructor,[]
1,186976,86976 (46.52%),0 Ether ($0.00) ,issue,"[['address', '0x9380fE0418979F66b06e9A6d2037124aD89b88A9'], ['uint256', '499999995000000000000']]"
2,171912,71912 (41.83%),0 Ether ($0.00) ,issue,"[['address', '0x56a090204762e57a3982A49Bc3Ebf0Abe736ec0E'], ['uint256', '34000000000000000000']]"
3,171976,71976 (41.85%),0 Ether ($0.00) ,issue,"[['address', '0xB95da44FFC3A63B3A77b7D5Ada274B7bC605ead1'], ['uint256', '33333333330000000000']]"
4,171976,71976 (41.85%),0 Ether ($0.00) ,issue,"[['address', '0x1949FBEf842eE97ECD94E9A35Faf660897D998CD'], ['uint256', '33333333330000000000']]"
5,171912,71912 (41.83%),0 Ether ($0.00) ,issue,"[['address', '0x708C0F5A287EC8f8207e741024da27740ECD7119'], ['uint256', '2666666670000000000']]"
6,171976,71976 (41.85%),0 Ether ($0.00) ,issue,"[['address', '0x2B8eDc0B552E47cE7a267fAB8bBf5e7F4B894363'], ['uint256', '66666666670000000000']]"
7,171912,71912 (41.83%),0 Ether ($0.00) ,issue,"[['address', '0x0b1A0895d2B31a6c9cfad104EB99f9A83ff05F72'], ['uint256', '100000000000000000000']]"
8,171848,71848 (41.81%),0 Ether ($0.00) ,issue,"[['address', '0xA192020A40449F2d1510f4A18344403796457567'], ['uint256', '4000000000000000000']]"
9,171912,71912 (41.83%),0 Ether ($0.00) ,issue,"[['address', '0xf47f4743cE8047fF8400a2718daE4CDAE5632e86'], ['uint256', '166666666670000000000']]"
10,171976,71976 (41.85%),0 Ether ($0.00) ,issue,"[['address', '0x2d82f008270d1239499CEfef3cf69AB0D3273db2'], ['uint256', '99613333330000000000']]"
11,171976,71976 (41.85%),0 Ether ($0.00) ,issue,"[['address', '0xa6eAa51Dc1D74f5D1074aA324ff07369FD2Bcc2A'], ['uint256', '326666666670000000000']]"
12,171912,71912 (41.83%),0 Ether ($0.00) ,issue,"[['address', '0xDB57dF045e89670935c4009948048bfFcD28903d'], ['uint256', '116666666670000000000']]"
13,171976,71976 (41.85%),0 Ether ($0.00) ,issue,"[['address', '0x93935dDab6A57286A480a7cE84912bB0503C603C'], ['uint256', '33333333330000000000']]"
14,171976,71976 (41.85%),0 Ether ($0.00) ,issue,"[['address', '0x55282E390BF9a5a6d934CAAf2e6e90386a9aAD4E'], ['uint256', '333333333330000000000']]"
15,171976,71976 (41.85%),0 Ether ($0.00) ,issue,"[['address', '0x188a6Bd991e6dE7b5F321d4e832b9733973076c5'], ['uint256', '33333333330000000000']]"
16,171976,71976 (41.85%),0 Ether ($0.00) ,issue,"[['address', '0x106166834496776C11b2130BcEc76e58Db809bC1'], ['uint256', '333333333330000000000']]"
